https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume API3,Volume USD
1764802800000,2025-12-03 23:00:00,API3/USD,0.544,0.544,0.513,0.513,36.056554,18.497012202
1764799200000,2025-12-03 22:00:00,API3/USD,0.521,0.544,0.521,0.544,46.64,25.37216
1764795600000,2025-12-03 21:00:00,API3/USD,0.521,0.521,0.521,0.521,0.0,0.0
1764792000000,2025-12-03 20:00:00,API3/USD,0.504,0.521,0.504,0.521,3996.024952,2081.928999992
1764788400000,2025-12-03 19:00:00,API3/USD,0.504,0.504,0.504,0.504,0.0,0.0
1764784800000,2025-12-03 18:00:00,API3/USD,0.537,0.537,0.504,0.504,133.486945,67.27742028
1764781200000,2025-12-03 17:00:00,API3/USD,0.537,0.537,0.537,0.537,0.0,0.0
1764777600000,2025-12-03 16:00:00,API3/USD,0.545,0.545,0.537,0.537,7.255985,3.8964639450000003
1764774000000,2025-12-03 15:00:00,API3/USD,0.545,0.545,0.545,0.545,0.0,0.0
1764770400000,2025-12-03 14:00:00,API3/USD,0.542,0.545,0.542,0.545,1388.946031,756.975586895
1764766800000,2025-12-03 13:00:00,API3/USD,0.542,0.542,0.542,0.542,0.0,0.0
1764763200000,2025-12-03 12:00:00,API3/USD,0.542,0.542,0.542,0.542,0.0,0.0
1764759600000,2025-12-03 11:00:00,API3/USD,0.542,0.542,0.542,0.542,0.0,0.0
1764756000000,2025-12-03 10:00:00,API3/USD,0.54,0.542,0.54,0.542,4.612546,2.499999932
1764752400000,2025-12-03 09:00:00,API3/USD,0.54,0.54,0.54,0.54,0.0,0.0
1764748800000,2025-12-03 08:00:00,API3/USD,0.54,0.54,0.54,0.54,0.0,0.0
1764745200000,2025-12-03 07:00:00,API3/USD,0.54,0.54,0.54,0.54,0.0,0.0
1764741600000,2025-12-03 06:00:00,API3/USD,0.54,0.54,0.54,0.54,0.0,0.0
1764738000000,2025-12-03 05:00:00,API3/USD,0.54,0.54,0.54,0.54,0.0,0.0
1764734400000,2025-12-03 04:00:00,API3/USD,0.54,0.54,0.54,0.54,0.0,0.0
1764730800000,2025-12-03 03:00:00,API3/USD,0.522,0.54,0.522,0.54,18.042124,9.742746960000002
1764727200000,2025-12-03 02:00:00,API3/USD,0.522,0.522,0.522,0.522,0.0,0.0
1764723600000,2025-12-03 01:00:00,API3/USD,0.539,0.539,0.522,0.522,745.847667,389.332482174
1764720000000,2025-12-03 00:00:00,API3/USD,0.524,0.539,0.524,0.539,54.225688,29.227645832
1764716400000,2025-12-02 23:00:00,API3/USD,0.508,0.552,0.508,0.524,193.788028,101.544926672
1764712800000,2025-12-02 22:00:00,API3/USD,0.508,0.508,0.508,0.508,0.0,0.0
1764709200000,2025-12-02 21:00:00,API3/USD,0.501,0.509,0.501,0.508,233.633071,118.685600068
1764705600000,2025-12-02 20:00:00,API3/USD,0.505,0.505,0.501,0.501,117.637926,58.936600926
1764702000000,2025-12-02 19:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764698400000,2025-12-02 18:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764694800000,2025-12-02 17:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764691200000,2025-12-02 16:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764687600000,2025-12-02 15:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764684000000,2025-12-02 14:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764680400000,2025-12-02 13:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764676800000,2025-12-02 12:00:00,API3/USD,0.505,0.505,0.505,0.505,0.0,0.0
1764673200000,2025-12-02 11:00:00,API3/USD,0.495,0.505,0.495,0.505,1.371235,0.692473675
1764669600000,2025-12-02 10:00:00,API3/USD,0.495,0.495,0.495,0.495,0.0,0.0
1764666000000,2025-12-02 09:00:00,API3/USD,0.495,0.495,0.495,0.495,0.0,0.0
1764662400000,2025-12-02 08:00:00,API3/USD,0.495,0.495,0.495,0.495,0.0,0.0
1764658800000,2025-12-02 07:00:00,API3/USD,0.502,0.502,0.495,0.495,1.377766,0.6819941700000001
1764655200000,2025-12-02 06:00:00,API3/USD,0.502,0.502,0.502,0.502,0.0,0.0
1764651600000,2025-12-02 05:00:00,API3/USD,0.502,0.502,0.502,0.502,0.0,0.0
1764648000000,2025-12-02 04:00:00,API3/USD,0.502,0.502,0.502,0.502,0.0,0.0
1764644400000,2025-12-02 03:00:00,API3/USD,0.502,0.502,0.502,0.502,0.0,0.0
1764640800000,2025-12-02 02:00:00,API3/USD,0.495,0.502,0.495,0.502,1.377766,0.691638532
1764637200000,2025-12-02 01:00:00,API3/USD,0.495,0.495,0.495,0.495,0.0,0.0
1764633600000,2025-12-02 00:00:00,API3/USD,0.495,0.495,0.495,0.495,0.0,0.0
1764630000000,2025-12-01 23:00:00,API3/USD,0.528,0.528,0.495,0.495,1.38187,0.6840256499999999
1764626400000,2025-12-01 22:00:00,API3/USD,0.528,0.528,0.528,0.528,0.0,0.0
1764622800000,2025-12-01 21:00:00,API3/USD,0.527,0.528,0.527,0.528,9.222846,4.869662688000001
1764619200000,2025-12-01 20:00:00,API3/USD,0.489,0.527,0.489,0.527,36.964352,19.480213503999998
1764615600000,2025-12-01 19:00:00,API3/USD,0.489,0.489,0.489,0.489,0.0,0.0
1764612000000,2025-12-01 18:00:00,API3/USD,0.489,0.489,0.489,0.489,0.0,0.0
1764608400000,2025-12-01 17:00:00,API3/USD,0.5,0.508,0.488,0.489,40.821513,19.961719857000002
1764604800000,2025-12-01 16:00:00,API3/USD,0.5,0.5,0.5,0.5,0.0,0.0
1764601200000,2025-12-01 15:00:00,API3/USD,0.524,0.524,0.5,0.5,200.0,100.0
1764597600000,2025-12-01 14:00:00,API3/USD,0.524,0.524,0.524,0.524,0.0,0.0
1764594000000,2025-12-01 13:00:00,API3/USD,0.524,0.524,0.524,0.524,0.0,0.0
1764590400000,2025-12-01 12:00:00,API3/USD,0.525,0.525,0.524,0.524,11.404762,5.976095288
1764586800000,2025-12-01 11:00:00,API3/USD,0.525,0.525,0.525,0.525,0.0,0.0
1764583200000,2025-12-01 10:00:00,API3/USD,0.525,0.525,0.525,0.525,0.0,0.0
1764579600000,2025-12-01 09:00:00,API3/USD,0.525,0.525,0.525,0.525,0.0,0.0
1764576000000,2025-12-01 08:00:00,API3/USD,0.51,0.525,0.51,0.525,400.330914,210.17372985
1764572400000,2025-12-01 07:00:00,API3/USD,0.525,0.525,0.51,0.51,0.476744,0.24313944
1764568800000,2025-12-01 06:00:00,API3/USD,0.5,0.525,0.5,0.525,11.131826,5.844208650000001
1764565200000,2025-12-01 05:00:00,API3/USD,0.522,0.522,0.5,0.5,209.07607,104.538035
1764561600000,2025-12-01 04:00:00,API3/USD,0.522,0.522,0.522,0.522,0.0,0.0
1764558000000,2025-12-01 03:00:00,API3/USD,0.507,0.522,0.5,0.522,1078.285135,562.8648404700001
1764554400000,2025-12-01 02:00:00,API3/USD,0.507,0.507,0.507,0.507,0.0,0.0
1764550800000,2025-12-01 01:00:00,API3/USD,0.507,0.507,0.507,0.507,0.0,0.0
1764547200000,2025-12-01 00:00:00,API3/USD,0.55,0.55,0.507,0.507,499.529487,253.26144990900002
1764543600000,2025-11-30 23:00:00,API3/USD,0.575,0.575,0.55,0.55,544.818181,299.64999955
1764540000000,2025-11-30 22:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764536400000,2025-11-30 21:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764532800000,2025-11-30 20:00:00,API3/USD,0.576,0.576,0.575,0.575,3.47826,1.9999995
1764529200000,2025-11-30 19:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764525600000,2025-11-30 18:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764522000000,2025-11-30 17:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764518400000,2025-11-30 16:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764514800000,2025-11-30 15:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764511200000,2025-11-30 14:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764507600000,2025-11-30 13:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764504000000,2025-11-30 12:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764500400000,2025-11-30 11:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764496800000,2025-11-30 10:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764493200000,2025-11-30 09:00:00,API3/USD,0.576,0.576,0.576,0.576,0.0,0.0
1764489600000,2025-11-30 08:00:00,API3/USD,0.573,0.576,0.573,0.576,1.539518,0.8867623679999999
1764486000000,2025-11-30 07:00:00,API3/USD,0.573,0.573,0.573,0.573,0.0,0.0
1764482400000,2025-11-30 06:00:00,API3/USD,0.573,0.573,0.573,0.573,0.0,0.0
1764478800000,2025-11-30 05:00:00,API3/USD,0.573,0.573,0.573,0.573,0.0,0.0
1764475200000,2025-11-30 04:00:00,API3/USD,0.576,0.576,0.567,0.573,481.348088,275.812454424
1764471600000,2025-11-30 03:00:00,API3/USD,0.521,0.75,0.521,0.576,669.832893,385.823746368
1764468000000,2025-11-30 02:00:00,API3/USD,0.536,0.536,0.521,0.521,7.317979,3.8126670590000002
1764464400000,2025-11-30 01:00:00,API3/USD,0.536,0.536,0.536,0.536,0.0,0.0
1764460800000,2025-11-30 00:00:00,API3/USD,0.536,0.536,0.536,0.536,0.0,0.0
1764457200000,2025-11-29 23:00:00,API3/USD,0.555,0.555,0.536,0.536,1.798562,0.964029232
1764453600000,2025-11-29 22:00:00,API3/USD,0.555,0.555,0.555,0.555,0.0,0.0
1764450000000,2025-11-29 21:00:00,API3/USD,0.555,0.555,0.555,0.555,0.0,0.0
1764446400000,2025-11-29 20:00:00,API3/USD,0.555,0.555,0.555,0.555,0.0,0.0
1764442800000,2025-11-29 19:00:00,API3/USD,0.575,0.575,0.555,0.555,119.967774,66.58211457000002
1764439200000,2025-11-29 18:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764435600000,2025-11-29 17:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764432000000,2025-11-29 16:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764428400000,2025-11-29 15:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764424800000,2025-11-29 14:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
1764421200000,2025-11-29 13:00:00,API3/USD,0.575,0.575,0.575,0.575,0.0,0.0
