https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTX,Volume USD
1764802800000,2025-12-03 23:00:00,CTX/USD,0.953,0.9696,0.953,0.9696,292.69137,283.793552352
1764799200000,2025-12-03 22:00:00,CTX/USD,0.9564,0.964,0.953,0.953,100.773795,96.037426635
1764795600000,2025-12-03 21:00:00,CTX/USD,0.9684,0.9684,0.9564,0.9564,447.6,428.08464000000004
1764792000000,2025-12-03 20:00:00,CTX/USD,0.9684,0.9684,0.9684,0.9684,0.0,0.0
1764788400000,2025-12-03 19:00:00,CTX/USD,0.9932,0.9932,0.9684,0.9684,82.874014,80.2551951576
1764784800000,2025-12-03 18:00:00,CTX/USD,1.0116,1.0116,0.9855,0.9932,144.30743,143.326139476
1764781200000,2025-12-03 17:00:00,CTX/USD,1.027,1.0992,1.0116,1.0116,1923.474851,1945.7871592716
1764777600000,2025-12-03 16:00:00,CTX/USD,0.9585,1.104,0.9585,1.027,350.373486,359.83357012199997
1764774000000,2025-12-03 15:00:00,CTX/USD,0.9981,0.9981,0.9585,0.9585,155.683692,149.22281878200002
1764770400000,2025-12-03 14:00:00,CTX/USD,0.9981,0.9981,0.9981,0.9981,0.0,0.0
1764766800000,2025-12-03 13:00:00,CTX/USD,1.0217,1.0217,0.9929,0.9981,272.91141,272.392878321
1764763200000,2025-12-03 12:00:00,CTX/USD,1.0052,1.0217,1.0052,1.0217,372.276162,380.3545547154
1764759600000,2025-12-03 11:00:00,CTX/USD,0.9836,1.0052,0.9836,1.0052,165.463399,166.32380867480003
1764756000000,2025-12-03 10:00:00,CTX/USD,0.9836,0.9836,0.9836,0.9836,0.0,0.0
1764752400000,2025-12-03 09:00:00,CTX/USD,0.9836,0.9836,0.9836,0.9836,0.0,0.0
1764748800000,2025-12-03 08:00:00,CTX/USD,0.9624,0.9836,0.9624,0.9836,202.145294,198.83011117840002
1764745200000,2025-12-03 07:00:00,CTX/USD,0.9624,0.9624,0.9624,0.9624,0.0,0.0
1764741600000,2025-12-03 06:00:00,CTX/USD,0.9588,0.9624,0.9566,0.9624,34.92849,33.615178776
1764738000000,2025-12-03 05:00:00,CTX/USD,0.9581,0.9588,0.9581,0.9588,1.95,1.8696599999999999
1764734400000,2025-12-03 04:00:00,CTX/USD,0.9753,0.9753,0.9581,0.9581,1.299004,1.2445757324
1764730800000,2025-12-03 03:00:00,CTX/USD,0.9753,0.9753,0.9753,0.9753,0.0,0.0
1764727200000,2025-12-03 02:00:00,CTX/USD,0.9753,0.9753,0.9753,0.9753,0.0,0.0
1764723600000,2025-12-03 01:00:00,CTX/USD,0.9552,0.9753,0.9552,0.9753,29.531874,28.802436712199995
1764720000000,2025-12-03 00:00:00,CTX/USD,0.9277,0.9621,0.9265,0.9552,851.659787,813.5054285424001
1764716400000,2025-12-02 23:00:00,CTX/USD,0.9277,0.9277,0.9277,0.9277,0.0,0.0
1764712800000,2025-12-02 22:00:00,CTX/USD,0.9343,0.9343,0.9277,0.9277,107.510972,99.73792872439999
1764709200000,2025-12-02 21:00:00,CTX/USD,0.9343,0.9343,0.9343,0.9343,0.0,0.0
1764705600000,2025-12-02 20:00:00,CTX/USD,0.914,0.9343,0.914,0.9343,11.70348,10.934561364
1764702000000,2025-12-02 19:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764698400000,2025-12-02 18:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764694800000,2025-12-02 17:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764691200000,2025-12-02 16:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764687600000,2025-12-02 15:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764684000000,2025-12-02 14:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764680400000,2025-12-02 13:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764676800000,2025-12-02 12:00:00,CTX/USD,0.914,0.914,0.914,0.914,0.0,0.0
1764673200000,2025-12-02 11:00:00,CTX/USD,0.9239,0.9239,0.914,0.914,1.895173,1.7321881220000002
1764669600000,2025-12-02 10:00:00,CTX/USD,0.9239,0.9239,0.9239,0.9239,0.0,0.0
1764666000000,2025-12-02 09:00:00,CTX/USD,0.9239,0.9239,0.9239,0.9239,0.0,0.0
1764662400000,2025-12-02 08:00:00,CTX/USD,0.94,0.94,0.9163,0.9239,2.368874,2.1886026886
1764658800000,2025-12-02 07:00:00,CTX/USD,0.9209,0.94,0.9209,0.94,2.365704,2.22376176
1764655200000,2025-12-02 06:00:00,CTX/USD,0.9177,0.9209,0.9161,0.9209,10.590195,9.7525105755
1764651600000,2025-12-02 05:00:00,CTX/USD,0.9177,0.9177,0.9177,0.9177,0.0,0.0
1764648000000,2025-12-02 04:00:00,CTX/USD,0.9177,0.9177,0.9177,0.9177,0.0,0.0
1764644400000,2025-12-02 03:00:00,CTX/USD,0.9231,0.9231,0.9137,0.9177,277.324247,254.5004614719
1764640800000,2025-12-02 02:00:00,CTX/USD,0.9045,0.9231,0.9045,0.9231,79.23906,73.145576286
1764637200000,2025-12-02 01:00:00,CTX/USD,0.9227,0.9227,0.9045,0.9045,177.225535,160.3004964075
1764633600000,2025-12-02 00:00:00,CTX/USD,0.9077,0.9227,0.9077,0.9227,53.848721,49.6862148667
1764630000000,2025-12-01 23:00:00,CTX/USD,0.9169,0.9169,0.9077,0.9077,4.6353,4.20746181
1764626400000,2025-12-01 22:00:00,CTX/USD,0.9169,0.9169,0.9169,0.9169,0.0,0.0
1764622800000,2025-12-01 21:00:00,CTX/USD,0.9169,0.9169,0.9169,0.9169,0.0,0.0
