https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USD
1764802800000,2025-12-03 23:00:00,ENS/USD,12.165,12.165,12.144,12.144,0.082345,0.99999768
1764799200000,2025-12-03 22:00:00,ENS/USD,12.065,12.165,12.065,12.165,0.161043,1.9590880949999998
1764795600000,2025-12-03 21:00:00,ENS/USD,12.012,12.065,12.012,12.065,0.051494,0.6212751099999999
1764792000000,2025-12-03 20:00:00,ENS/USD,11.863,12.012,11.863,12.012,3.051925,36.6597231
1764788400000,2025-12-03 19:00:00,ENS/USD,11.912,11.912,11.861,11.863,32.970474,391.12873306200004
1764784800000,2025-12-03 18:00:00,ENS/USD,11.774,11.912,11.774,11.912,0.052359,0.623700408
1764781200000,2025-12-03 17:00:00,ENS/USD,11.774,11.774,11.774,11.774,0.0,0.0
1764777600000,2025-12-03 16:00:00,ENS/USD,11.721,11.774,11.721,11.774,5.667113,66.72458846199999
1764774000000,2025-12-03 15:00:00,ENS/USD,11.912,11.912,11.721,11.721,0.052359,0.613699839
1764770400000,2025-12-03 14:00:00,ENS/USD,11.857,11.912,11.624,11.912,2.291171,27.292428952
1764766800000,2025-12-03 13:00:00,ENS/USD,11.857,11.857,11.857,11.857,0.0,0.0
1764763200000,2025-12-03 12:00:00,ENS/USD,11.857,11.857,11.857,11.857,0.0,0.0
1764759600000,2025-12-03 11:00:00,ENS/USD,11.89,11.89,11.857,11.857,8.0,94.856
1764756000000,2025-12-03 10:00:00,ENS/USD,11.89,11.89,11.89,11.89,0.0,0.0
1764752400000,2025-12-03 09:00:00,ENS/USD,11.89,11.89,11.89,11.89,0.0,0.0
1764748800000,2025-12-03 08:00:00,ENS/USD,11.876,11.89,11.876,11.89,8.385273,99.70089597
1764745200000,2025-12-03 07:00:00,ENS/USD,11.876,11.876,11.876,11.876,0.0,0.0
1764741600000,2025-12-03 06:00:00,ENS/USD,11.912,11.942,11.876,11.876,22.348514,265.410952264
1764738000000,2025-12-03 05:00:00,ENS/USD,11.802,11.912,11.802,11.912,0.052359,0.623700408
1764734400000,2025-12-03 04:00:00,ENS/USD,11.812,11.812,11.802,11.802,8.263568,97.52662953599999
