https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USD
1764802800000,2025-12-03 23:00:00,FTM/USD,0.0951,0.0986,0.0951,0.0985,2823.210766,278.08626045100004
1764799200000,2025-12-03 22:00:00,FTM/USD,0.1038,0.1038,0.0951,0.0951,1369.48768,130.238278368
1764795600000,2025-12-03 21:00:00,FTM/USD,0.0955,0.1038,0.0955,0.1038,29.48713,3.060764094
1764792000000,2025-12-03 20:00:00,FTM/USD,0.0999,0.0999,0.0955,0.0955,437.411208,41.772770364
1764788400000,2025-12-03 19:00:00,FTM/USD,0.0999,0.0999,0.0999,0.0999,0.26,0.025974
1764784800000,2025-12-03 18:00:00,FTM/USD,0.1061,0.1061,0.0999,0.0999,338.0,33.7662
1764781200000,2025-12-03 17:00:00,FTM/USD,0.1051,0.1094,0.0998,0.1061,4778.580914,507.00743497540003
1764777600000,2025-12-03 16:00:00,FTM/USD,0.1051,0.1051,0.1051,0.1051,146.088653,15.3539174303
1764774000000,2025-12-03 15:00:00,FTM/USD,0.1051,0.1051,0.1051,0.1051,0.0,0.0
1764770400000,2025-12-03 14:00:00,FTM/USD,0.1051,0.1051,0.104,0.1051,741.344998,77.91535928980001
1764766800000,2025-12-03 13:00:00,FTM/USD,0.1051,0.1051,0.1051,0.1051,0.0,0.0
1764763200000,2025-12-03 12:00:00,FTM/USD,0.1051,0.1051,0.1051,0.1051,0.0,0.0
1764759600000,2025-12-03 11:00:00,FTM/USD,0.1051,0.1051,0.1051,0.1051,0.0,0.0
1764756000000,2025-12-03 10:00:00,FTM/USD,0.1051,0.1051,0.1051,0.1051,20.406779,2.1447524729
1764752400000,2025-12-03 09:00:00,FTM/USD,0.1032,0.1051,0.1032,0.1051,927.589453,97.4896515103
1764748800000,2025-12-03 08:00:00,FTM/USD,0.1152,0.1152,0.1032,0.1032,94.826462,9.786090878400001
1764745200000,2025-12-03 07:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764741600000,2025-12-03 06:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764738000000,2025-12-03 05:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764734400000,2025-12-03 04:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764730800000,2025-12-03 03:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764727200000,2025-12-03 02:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764723600000,2025-12-03 01:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764720000000,2025-12-03 00:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764716400000,2025-12-02 23:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764712800000,2025-12-02 22:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764709200000,2025-12-02 21:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764705600000,2025-12-02 20:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764702000000,2025-12-02 19:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764698400000,2025-12-02 18:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764694800000,2025-12-02 17:00:00,FTM/USD,0.1152,0.1152,0.1152,0.1152,0.0,0.0
1764691200000,2025-12-02 16:00:00,FTM/USD,0.1176,0.1176,0.1152,0.1152,3107.638888,357.9999998976
1764687600000,2025-12-02 15:00:00,FTM/USD,0.097,0.1176,0.097,0.1176,8.503401,0.9999999576
1764684000000,2025-12-02 14:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764680400000,2025-12-02 13:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764676800000,2025-12-02 12:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764673200000,2025-12-02 11:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764669600000,2025-12-02 10:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764666000000,2025-12-02 09:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764662400000,2025-12-02 08:00:00,FTM/USD,0.097,0.097,0.097,0.097,0.0,0.0
1764658800000,2025-12-02 07:00:00,FTM/USD,0.1073,0.1079,0.097,0.097,21332.309959,2069.2340660229997
1764655200000,2025-12-02 06:00:00,FTM/USD,0.1067,0.1073,0.1067,0.1073,1027.288088,110.22801184240001
1764651600000,2025-12-02 05:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764648000000,2025-12-02 04:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764644400000,2025-12-02 03:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764640800000,2025-12-02 02:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764637200000,2025-12-02 01:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764633600000,2025-12-02 00:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764630000000,2025-12-01 23:00:00,FTM/USD,0.1067,0.1067,0.1067,0.1067,0.0,0.0
1764626400000,2025-12-01 22:00:00,FTM/USD,0.1016,0.1067,0.1016,0.1067,186.022652,19.8486169684
1764622800000,2025-12-01 21:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764619200000,2025-12-01 20:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764615600000,2025-12-01 19:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764612000000,2025-12-01 18:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764608400000,2025-12-01 17:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764604800000,2025-12-01 16:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764601200000,2025-12-01 15:00:00,FTM/USD,0.1016,0.1016,0.1016,0.1016,0.0,0.0
1764597600000,2025-12-01 14:00:00,FTM/USD,0.097,0.1016,0.097,0.1016,796.137293,80.88754896879999
1764594000000,2025-12-01 13:00:00,FTM/USD,0.1001,0.1001,0.097,0.097,102364.811006,9929.386667582
1764590400000,2025-12-01 12:00:00,FTM/USD,0.1001,0.1001,0.1001,0.1001,59.701254,5.9760955254
1764586800000,2025-12-01 11:00:00,FTM/USD,0.097,0.1001,0.097,0.1001,565.499425,56.60649244249999
1764583200000,2025-12-01 10:00:00,FTM/USD,0.1001,0.1001,0.097,0.097,144.78248,14.043900559999999
1764579600000,2025-12-01 09:00:00,FTM/USD,0.1001,0.1001,0.1001,0.1001,0.0,0.0
1764576000000,2025-12-01 08:00:00,FTM/USD,0.1001,0.1001,0.1001,0.1001,0.0,0.0
1764572400000,2025-12-01 07:00:00,FTM/USD,0.097,0.1001,0.097,0.1001,2.433794,0.24362277939999996
1764568800000,2025-12-01 06:00:00,FTM/USD,0.1001,0.1001,0.097,0.097,235.882601,22.880612297
1764565200000,2025-12-01 05:00:00,FTM/USD,0.097,0.1001,0.097,0.1001,301.759881,30.2061640881
1764561600000,2025-12-01 04:00:00,FTM/USD,0.1001,0.1001,0.097,0.097,0.9399,0.0911703
1764558000000,2025-12-01 03:00:00,FTM/USD,0.1001,0.1001,0.097,0.1001,4084.572126,408.8656698126
1764554400000,2025-12-01 02:00:00,FTM/USD,0.1001,0.1001,0.0995,0.1001,5888.645379,589.4534024379
1764550800000,2025-12-01 01:00:00,FTM/USD,0.1001,0.1001,0.1001,0.1001,786.0,78.67859999999999
1764547200000,2025-12-01 00:00:00,FTM/USD,0.1089,0.1089,0.1001,0.1001,231.992694,23.222468669399998
1764543600000,2025-11-30 23:00:00,FTM/USD,0.1089,0.1089,0.1089,0.1089,0.0,0.0
1764540000000,2025-11-30 22:00:00,FTM/USD,0.1098,0.1098,0.1089,0.1089,99.0,10.7811
1764536400000,2025-11-30 21:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764532800000,2025-11-30 20:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764529200000,2025-11-30 19:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764525600000,2025-11-30 18:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764522000000,2025-11-30 17:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764518400000,2025-11-30 16:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764514800000,2025-11-30 15:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764511200000,2025-11-30 14:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764507600000,2025-11-30 13:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,950.091555,104.32005273899999
1764504000000,2025-11-30 12:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764500400000,2025-11-30 11:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764496800000,2025-11-30 10:00:00,FTM/USD,0.108,0.1098,0.108,0.1098,91.07468,9.999999864
1764493200000,2025-11-30 09:00:00,FTM/USD,0.108,0.108,0.108,0.108,0.0,0.0
1764489600000,2025-11-30 08:00:00,FTM/USD,0.108,0.108,0.108,0.108,0.0,0.0
1764486000000,2025-11-30 07:00:00,FTM/USD,0.108,0.108,0.108,0.108,0.0,0.0
1764482400000,2025-11-30 06:00:00,FTM/USD,0.1,0.108,0.1,0.108,119.498873,12.905878284
1764478800000,2025-11-30 05:00:00,FTM/USD,0.1098,0.1098,0.1,0.1,155.412539,15.541253900000001
1764475200000,2025-11-30 04:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764471600000,2025-11-30 03:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764468000000,2025-11-30 02:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,44.413886,4.876644682799999
1764464400000,2025-11-30 01:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764460800000,2025-11-30 00:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764457200000,2025-11-29 23:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764453600000,2025-11-29 22:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,222.069431,24.383223523799998
1764450000000,2025-11-29 21:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,44.413886,4.876644682799999
1764446400000,2025-11-29 20:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764442800000,2025-11-29 19:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
1764439200000,2025-11-29 18:00:00,FTM/USD,0.1002,0.1098,0.1002,0.1098,799.449954,87.7796049492
1764435600000,2025-11-29 17:00:00,FTM/USD,0.1002,0.1002,0.1002,0.1002,0.0,0.0
1764432000000,2025-11-29 16:00:00,FTM/USD,0.1098,0.1098,0.1002,0.1002,26.365624,2.6418355248
1764428400000,2025-11-29 15:00:00,FTM/USD,0.1098,0.1098,0.1098,0.1098,0.0,0.0
