https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1764802800000,2025-12-03 23:00:00,GALA/USD,0.00775,0.00785,0.00762,0.00779,69447.164666,540.99341274814
1764799200000,2025-12-03 22:00:00,GALA/USD,0.00764,0.00775,0.00759,0.00775,260006.28991,2015.0487468024999
1764795600000,2025-12-03 21:00:00,GALA/USD,0.00754,0.00772,0.00754,0.00764,75428.392924,576.27292193936
1764792000000,2025-12-03 20:00:00,GALA/USD,0.00768,0.00768,0.00754,0.00754,128571.934575,969.4323866955
1764788400000,2025-12-03 19:00:00,GALA/USD,0.0077,0.0077,0.00768,0.00768,1983.139432,15.23051083776
1764784800000,2025-12-03 18:00:00,GALA/USD,0.00762,0.0077,0.00743,0.0077,578097.676369,4451.3521080413
1764781200000,2025-12-03 17:00:00,GALA/USD,0.00762,0.00762,0.00762,0.00762,0.0,0.0
1764777600000,2025-12-03 16:00:00,GALA/USD,0.00764,0.00764,0.00749,0.00762,11781.33736,89.77379068319999
1764774000000,2025-12-03 15:00:00,GALA/USD,0.0076,0.00764,0.00747,0.00764,5206.330202,39.77636274328
1764770400000,2025-12-03 14:00:00,GALA/USD,0.00764,0.00764,0.00743,0.0076,34715.444948,263.8373816048
1764766800000,2025-12-03 13:00:00,GALA/USD,0.00751,0.00764,0.0074,0.00764,11406.645161,87.14676903004
1764763200000,2025-12-03 12:00:00,GALA/USD,0.00751,0.00751,0.00751,0.00751,0.0,0.0
1764759600000,2025-12-03 11:00:00,GALA/USD,0.00751,0.00751,0.00751,0.00751,0.0,0.0
1764756000000,2025-12-03 10:00:00,GALA/USD,0.00747,0.0077,0.00744,0.00751,16015.742173,120.27822371923001
1764752400000,2025-12-03 09:00:00,GALA/USD,0.00747,0.00747,0.00747,0.00747,0.0,0.0
1764748800000,2025-12-03 08:00:00,GALA/USD,0.00758,0.0076,0.00747,0.00747,10589.237517,79.10160425199
1764745200000,2025-12-03 07:00:00,GALA/USD,0.00763,0.00763,0.00757,0.00758,57438.199197,435.38154991326
1764741600000,2025-12-03 06:00:00,GALA/USD,0.00755,0.00763,0.00755,0.00763,971.875238,7.4154080659399995
1764738000000,2025-12-03 05:00:00,GALA/USD,0.00755,0.00755,0.00755,0.00755,0.0,0.0
1764734400000,2025-12-03 04:00:00,GALA/USD,0.00737,0.00755,0.00737,0.00755,5992.913952,45.246500337600004
1764730800000,2025-12-03 03:00:00,GALA/USD,0.00728,0.00754,0.00728,0.00737,10331.564986,76.14363394681999
1764727200000,2025-12-03 02:00:00,GALA/USD,0.00737,0.0075,0.00728,0.00728,57956.179911,421.92098975208
1764723600000,2025-12-03 01:00:00,GALA/USD,0.00737,0.00737,0.00737,0.00737,0.0,0.0
1764720000000,2025-12-03 00:00:00,GALA/USD,0.00727,0.00747,0.00727,0.00737,1720.83931,12.6825857147
1764716400000,2025-12-02 23:00:00,GALA/USD,0.00729,0.00748,0.00727,0.00727,6063.304634,44.08022468918
1764712800000,2025-12-02 22:00:00,GALA/USD,0.00729,0.00729,0.00729,0.00729,0.0,0.0
1764709200000,2025-12-02 21:00:00,GALA/USD,0.0073,0.00742,0.00726,0.00729,1604.140568,11.694184740719999
1764705600000,2025-12-02 20:00:00,GALA/USD,0.00741,0.00741,0.0073,0.0073,3751.422901,27.3853871773
1764702000000,2025-12-02 19:00:00,GALA/USD,0.00749,0.00749,0.00741,0.00741,1603.914663,11.88500765283
1764698400000,2025-12-02 18:00:00,GALA/USD,0.00749,0.00749,0.00749,0.00749,0.0,0.0
1764694800000,2025-12-02 17:00:00,GALA/USD,0.00749,0.00749,0.00749,0.00749,0.0,0.0
1764691200000,2025-12-02 16:00:00,GALA/USD,0.00746,0.00757,0.00735,0.00749,44127.237369,330.51300789381
1764687600000,2025-12-02 15:00:00,GALA/USD,0.00698,0.00746,0.00698,0.00746,13744.632589,102.53495911394
1764684000000,2025-12-02 14:00:00,GALA/USD,0.00689,0.00698,0.00681,0.00698,20361.715697,142.12477556506
1764680400000,2025-12-02 13:00:00,GALA/USD,0.00671,0.00689,0.00671,0.00689,229256.220742,1579.5753609123801
1764676800000,2025-12-02 12:00:00,GALA/USD,0.00671,0.00671,0.00671,0.00671,0.0,0.0
1764673200000,2025-12-02 11:00:00,GALA/USD,0.00675,0.00675,0.00671,0.00671,2048.239309,13.74368576339
1764669600000,2025-12-02 10:00:00,GALA/USD,0.0068,0.0068,0.00675,0.00675,14322.177145,96.67469572875
1764666000000,2025-12-02 09:00:00,GALA/USD,0.0068,0.0068,0.0068,0.0068,0.0,0.0
1764662400000,2025-12-02 08:00:00,GALA/USD,0.0068,0.0068,0.0068,0.0068,0.0,0.0
1764658800000,2025-12-02 07:00:00,GALA/USD,0.00682,0.00682,0.0068,0.0068,1720.698689,11.7007510852
1764655200000,2025-12-02 06:00:00,GALA/USD,0.0068,0.00682,0.0068,0.00682,726.314949,4.95346795218
1764651600000,2025-12-02 05:00:00,GALA/USD,0.00681,0.00681,0.0068,0.0068,145645.358823,990.3884399963998
1764648000000,2025-12-02 04:00:00,GALA/USD,0.00675,0.00681,0.00675,0.00681,71.591569,0.48753858489000007
1764644400000,2025-12-02 03:00:00,GALA/USD,0.00666,0.00675,0.00658,0.00675,59191.703106,399.5439959655
1764640800000,2025-12-02 02:00:00,GALA/USD,0.00666,0.00666,0.00666,0.00666,0.0,0.0
1764637200000,2025-12-02 01:00:00,GALA/USD,0.00675,0.00675,0.00666,0.00666,8460.966308,56.35003561127999
1764633600000,2025-12-02 00:00:00,GALA/USD,0.00679,0.00679,0.00664,0.00675,72616.017851,490.15812049425
1764630000000,2025-12-01 23:00:00,GALA/USD,0.00684,0.00684,0.00679,0.00679,25126.975757,170.61216539003001
1764626400000,2025-12-01 22:00:00,GALA/USD,0.00676,0.00684,0.00676,0.00684,75.912408,0.51924087072
1764622800000,2025-12-01 21:00:00,GALA/USD,0.00678,0.00684,0.00656,0.00676,451331.673363,3051.00211193388
1764619200000,2025-12-01 20:00:00,GALA/USD,0.0067,0.00678,0.0067,0.00678,2157.153284,14.625499265519998
1764615600000,2025-12-01 19:00:00,GALA/USD,0.00673,0.00673,0.00669,0.0067,44105.076831,295.5040147677
1764612000000,2025-12-01 18:00:00,GALA/USD,0.00654,0.00673,0.00654,0.00673,2897.352941,19.49918529293
1764608400000,2025-12-01 17:00:00,GALA/USD,0.00653,0.00655,0.00653,0.00654,62653.691399,409.75514174946
1764604800000,2025-12-01 16:00:00,GALA/USD,0.0065,0.00678,0.0065,0.00653,1653397.082091,10796.68294605423
1764601200000,2025-12-01 15:00:00,GALA/USD,0.00694,0.00694,0.0065,0.0065,687861.508881,4471.099807726499
1764597600000,2025-12-01 14:00:00,GALA/USD,0.00684,0.00694,0.00666,0.00694,7654.237368,53.12040733392
1764594000000,2025-12-01 13:00:00,GALA/USD,0.00695,0.00695,0.00684,0.00684,2079.061686,14.22078193224
1764590400000,2025-12-01 12:00:00,GALA/USD,0.00698,0.00698,0.0068,0.00695,15650.896461,108.77373040395
1764586800000,2025-12-01 11:00:00,GALA/USD,0.00698,0.00698,0.00698,0.00698,0.0,0.0
1764583200000,2025-12-01 10:00:00,GALA/USD,0.00697,0.00698,0.00697,0.00698,139.730496,0.97531886208
1764579600000,2025-12-01 09:00:00,GALA/USD,0.00681,0.00697,0.00681,0.00697,160000.0,1115.2
1764576000000,2025-12-01 08:00:00,GALA/USD,0.00693,0.00693,0.00681,0.00681,7122.274971,48.50269255251
1764572400000,2025-12-01 07:00:00,GALA/USD,0.00695,0.00695,0.00692,0.00693,36.467,0.25271631
1764568800000,2025-12-01 06:00:00,GALA/USD,0.00685,0.00695,0.00685,0.00695,712.864672,4.9544094704
1764565200000,2025-12-01 05:00:00,GALA/USD,0.00698,0.00698,0.00685,0.00685,4789.171622,32.8058256107
1764561600000,2025-12-01 04:00:00,GALA/USD,0.00698,0.00698,0.00698,0.00698,0.0,0.0
1764558000000,2025-12-01 03:00:00,GALA/USD,0.00683,0.00721,0.00683,0.00698,180890.899479,1262.61847836342
1764554400000,2025-12-01 02:00:00,GALA/USD,0.00687,0.00718,0.00681,0.00683,212010.729116,1448.03327986228
1764550800000,2025-12-01 01:00:00,GALA/USD,0.007,0.007,0.00687,0.00687,940.983759,6.46455842433
1764547200000,2025-12-01 00:00:00,GALA/USD,0.00752,0.00752,0.007,0.007,146141.837511,1022.992862577
1764543600000,2025-11-30 23:00:00,GALA/USD,0.00762,0.00764,0.00752,0.00752,19265.767773,144.87857365296
1764540000000,2025-11-30 22:00:00,GALA/USD,0.00762,0.00762,0.00762,0.00762,0.0,0.0
1764536400000,2025-11-30 21:00:00,GALA/USD,0.00771,0.00771,0.00762,0.00762,2254.355406,17.17818819372
1764532800000,2025-11-30 20:00:00,GALA/USD,0.00771,0.00771,0.00771,0.00771,0.0,0.0
1764529200000,2025-11-30 19:00:00,GALA/USD,0.00765,0.00771,0.00765,0.00771,19694.474884,151.84440135564
1764525600000,2025-11-30 18:00:00,GALA/USD,0.00772,0.00772,0.00765,0.00765,3495.285744,26.738935941599998
1764522000000,2025-11-30 17:00:00,GALA/USD,0.00772,0.00772,0.00772,0.00772,0.0,0.0
1764518400000,2025-11-30 16:00:00,GALA/USD,0.00768,0.00772,0.00768,0.00772,3479.423075,26.861146139000002
1764514800000,2025-11-30 15:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764511200000,2025-11-30 14:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764507600000,2025-11-30 13:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764504000000,2025-11-30 12:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764500400000,2025-11-30 11:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764496800000,2025-11-30 10:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764493200000,2025-11-30 09:00:00,GALA/USD,0.00768,0.00768,0.00768,0.00768,0.0,0.0
1764489600000,2025-11-30 08:00:00,GALA/USD,0.00771,0.00771,0.00767,0.00768,36607.691564,281.14707121152003
1764486000000,2025-11-30 07:00:00,GALA/USD,0.00771,0.00771,0.00771,0.00771,0.0,0.0
1764482400000,2025-11-30 06:00:00,GALA/USD,0.00758,0.00771,0.00758,0.00771,2504.265504,19.30788703584
1764478800000,2025-11-30 05:00:00,GALA/USD,0.00772,0.00772,0.00758,0.00758,10465.568322,79.32900788075999
1764475200000,2025-11-30 04:00:00,GALA/USD,0.00772,0.00772,0.00772,0.00772,0.0,0.0
1764471600000,2025-11-30 03:00:00,GALA/USD,0.00772,0.00772,0.00772,0.00772,0.0,0.0
1764468000000,2025-11-30 02:00:00,GALA/USD,0.00777,0.00777,0.00771,0.00772,12901.800208,99.60189760576
1764464400000,2025-11-30 01:00:00,GALA/USD,0.00761,0.00777,0.00761,0.00777,15232.30898,118.3550407746
1764460800000,2025-11-30 00:00:00,GALA/USD,0.00761,0.00761,0.00761,0.00761,0.0,0.0
1764457200000,2025-11-29 23:00:00,GALA/USD,0.00772,0.00772,0.00761,0.00761,858.002635,6.52940005235
1764453600000,2025-11-29 22:00:00,GALA/USD,0.00761,0.00772,0.00761,0.00772,3157.371794,24.374910249680003
1764450000000,2025-11-29 21:00:00,GALA/USD,0.00761,0.00761,0.00761,0.00761,0.0,0.0
1764446400000,2025-11-29 20:00:00,GALA/USD,0.00761,0.00761,0.00761,0.00761,0.0,0.0
1764442800000,2025-11-29 19:00:00,GALA/USD,0.00761,0.00761,0.00761,0.00761,0.0,0.0
1764439200000,2025-11-29 18:00:00,GALA/USD,0.00765,0.00765,0.00754,0.00761,12652.151554,96.28287332593999
1764435600000,2025-11-29 17:00:00,GALA/USD,0.00763,0.00789,0.00763,0.00765,6150.706672,47.0529060408
1764432000000,2025-11-29 16:00:00,GALA/USD,0.00759,0.00778,0.00759,0.00763,539.666372,4.11765441836
1764428400000,2025-11-29 15:00:00,GALA/USD,0.00765,0.00765,0.00759,0.00759,22693.076762,172.24045262358
1764424800000,2025-11-29 14:00:00,GALA/USD,0.00784,0.00784,0.00765,0.00765,127.099841,0.97231378365
1764421200000,2025-11-29 13:00:00,GALA/USD,0.00785,0.00785,0.00783,0.00784,12438.131313,97.51494949392
1764417600000,2025-11-29 12:00:00,GALA/USD,0.00785,0.00785,0.00785,0.00785,0.0,0.0
1764414000000,2025-11-29 11:00:00,GALA/USD,0.00774,0.00785,0.00774,0.00785,8044.158291,63.14664258434999
1764410400000,2025-11-29 10:00:00,GALA/USD,0.00774,0.00775,0.00774,0.00774,3082.341685,23.8573246419
1764406800000,2025-11-29 09:00:00,GALA/USD,0.00793,0.00793,0.00774,0.00774,96.612866,0.74778358284
1764403200000,2025-11-29 08:00:00,GALA/USD,0.00793,0.00793,0.00793,0.00793,0.0,0.0
1764399600000,2025-11-29 07:00:00,GALA/USD,0.00793,0.00793,0.00793,0.00793,0.0,0.0
1764396000000,2025-11-29 06:00:00,GALA/USD,0.00793,0.00793,0.00792,0.00793,624.757802,4.954329369859999
1764392400000,2025-11-29 05:00:00,GALA/USD,0.00775,0.00793,0.00775,0.00793,6641.123595,52.664110108349995
1764388800000,2025-11-29 04:00:00,GALA/USD,0.00779,0.00791,0.00775,0.00775,120941.786948,937.2988488469999
1764385200000,2025-11-29 03:00:00,GALA/USD,0.00779,0.00779,0.00779,0.00779,0.0,0.0
1764381600000,2025-11-29 02:00:00,GALA/USD,0.00779,0.00779,0.00779,0.00779,0.0,0.0
1764378000000,2025-11-29 01:00:00,GALA/USD,0.00779,0.00779,0.00779,0.00779,0.0,0.0
1764374400000,2025-11-29 00:00:00,GALA/USD,0.00779,0.00779,0.00779,0.00779,0.0,0.0
1764370800000,2025-11-28 23:00:00,GALA/USD,0.00797,0.00799,0.00779,0.00779,3287.249137,25.60767077723
1764367200000,2025-11-28 22:00:00,GALA/USD,0.00777,0.00797,0.00777,0.00797,1114.814906,8.88507480082
1764363600000,2025-11-28 21:00:00,GALA/USD,0.008,0.008,0.00777,0.00777,20475.020475,159.09090909075002
1764360000000,2025-11-28 20:00:00,GALA/USD,0.008,0.008,0.008,0.008,0.0,0.0
1764356400000,2025-11-28 19:00:00,GALA/USD,0.00777,0.008,0.00777,0.008,4146.579719,33.172637752
1764352800000,2025-11-28 18:00:00,GALA/USD,0.0078,0.0078,0.00776,0.00777,10568.158437,82.11459105549
1764349200000,2025-11-28 17:00:00,GALA/USD,0.00805,0.00805,0.0078,0.0078,20121.971146,156.9513749388
1764345600000,2025-11-28 16:00:00,GALA/USD,0.00805,0.00805,0.00785,0.00805,57335.600057,461.55158045885
1764342000000,2025-11-28 15:00:00,GALA/USD,0.00805,0.00805,0.00805,0.00805,0.0,0.0
1764338400000,2025-11-28 14:00:00,GALA/USD,0.00797,0.00805,0.00797,0.00805,186.395458,1.5004834369
1764334800000,2025-11-28 13:00:00,GALA/USD,0.00802,0.00802,0.00797,0.00797,1311.879025,10.45567582925
1764331200000,2025-11-28 12:00:00,GALA/USD,0.00802,0.00802,0.00802,0.00802,0.0,0.0
1764327600000,2025-11-28 11:00:00,GALA/USD,0.00806,0.00806,0.00802,0.00802,1205.752753,9.67013707906
1764324000000,2025-11-28 10:00:00,GALA/USD,0.00806,0.00806,0.00806,0.00806,0.0,0.0
