https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD
1762210800000,2025-11-03 23:00:00,ANKR/USD,0.00878,0.00884,0.00873,0.00884,15565.348689,137.59768241076
1762207200000,2025-11-03 22:00:00,ANKR/USD,0.00886,0.00886,0.00875,0.00878,59724.312724,524.37946571672
1762203600000,2025-11-03 21:00:00,ANKR/USD,0.00877,0.00887,0.00873,0.00886,37779.064158,334.72250843988
1762200000000,2025-11-03 20:00:00,ANKR/USD,0.00886,0.00886,0.00876,0.00877,33634.205702,294.97198400653997
1762196400000,2025-11-03 19:00:00,ANKR/USD,0.00898,0.00898,0.00886,0.00886,17027.829252,150.86656717271998
1762192800000,2025-11-03 18:00:00,ANKR/USD,0.00912,0.00912,0.00898,0.00898,13097.982024,117.61987857552
1762189200000,2025-11-03 17:00:00,ANKR/USD,0.00908,0.00914,0.00906,0.00912,14698.420374,134.04959381088
1762185600000,2025-11-03 16:00:00,ANKR/USD,0.00889,0.0091,0.00886,0.00908,125755.763606,1141.86233354248
1762182000000,2025-11-03 15:00:00,ANKR/USD,0.00935,0.00935,0.00868,0.00889,234178.03413,2081.8427234156998
1762178400000,2025-11-03 14:00:00,ANKR/USD,0.00935,0.00941,0.00935,0.00935,8978.706406,83.9509048961
1762174800000,2025-11-03 13:00:00,ANKR/USD,0.00932,0.00939,0.00931,0.00935,8655.35071,80.9275291385
1762171200000,2025-11-03 12:00:00,ANKR/USD,0.0094,0.00941,0.00932,0.00932,8858.893913,82.56489126916
1762167600000,2025-11-03 11:00:00,ANKR/USD,0.00929,0.0094,0.00929,0.0094,39011.969282,366.7125112508
1762164000000,2025-11-03 10:00:00,ANKR/USD,0.00932,0.00932,0.00929,0.00929,4427.937946,41.13554351834
1762160400000,2025-11-03 09:00:00,ANKR/USD,0.00941,0.00947,0.00932,0.00932,91434.863363,852.17292654316
1762156800000,2025-11-03 08:00:00,ANKR/USD,0.00938,0.00941,0.00932,0.00941,14787.644982,139.15173928062
1762153200000,2025-11-03 07:00:00,ANKR/USD,0.00938,0.00946,0.00938,0.00938,15792.490739,148.13356313182
1762149600000,2025-11-03 06:00:00,ANKR/USD,0.00937,0.00942,0.00931,0.00938,44241.367884,414.98403075192
1762146000000,2025-11-03 05:00:00,ANKR/USD,0.00942,0.00951,0.00937,0.00937,26280.269932,246.24612926284
1762142400000,2025-11-03 04:00:00,ANKR/USD,0.00935,0.00942,0.00931,0.00942,14515.021431,136.73150188001998
1762138800000,2025-11-03 03:00:00,ANKR/USD,0.00967,0.00967,0.00935,0.00935,59172.531519,553.26316970265
1762135200000,2025-11-03 02:00:00,ANKR/USD,0.0097,0.0097,0.00961,0.00967,14296.751058,138.24958273086
1762131600000,2025-11-03 01:00:00,ANKR/USD,0.00978,0.00978,0.0097,0.0097,10013.20173,97.12805678100001
1762128000000,2025-11-03 00:00:00,ANKR/USD,0.00991,0.00991,0.00978,0.00978,10839.266868,106.00802996904001
1762124400000,2025-11-02 23:00:00,ANKR/USD,0.00969,0.00991,0.00969,0.00991,22314.013247,221.13187127777
1762120800000,2025-11-02 22:00:00,ANKR/USD,0.00972,0.00972,0.00969,0.00969,2979.726612,28.873550870280003
1762117200000,2025-11-02 21:00:00,ANKR/USD,0.00971,0.00975,0.00971,0.00972,7503.082498,72.92996188056
1762113600000,2025-11-02 20:00:00,ANKR/USD,0.00967,0.00971,0.00967,0.00971,10347.499466,100.47421981485999
1762110000000,2025-11-02 19:00:00,ANKR/USD,0.0097,0.0097,0.00961,0.00967,16833.053838,162.77563061345998
1762106400000,2025-11-02 18:00:00,ANKR/USD,0.00971,0.00971,0.0097,0.0097,1468.926963,14.2485915411
1762102800000,2025-11-02 17:00:00,ANKR/USD,0.00977,0.00977,0.00971,0.00971,7102.818044,68.96836320723999
1762099200000,2025-11-02 16:00:00,ANKR/USD,0.00983,0.00983,0.00977,0.00977,6782.892415,66.26885889455
1762095600000,2025-11-02 15:00:00,ANKR/USD,0.00989,0.00989,0.00983,0.00983,6792.119189,66.76653162787
1762092000000,2025-11-02 14:00:00,ANKR/USD,0.00995,0.00995,0.00989,0.00989,5507.833379,54.472472118309994
1762088400000,2025-11-02 13:00:00,ANKR/USD,0.01,0.01,0.00995,0.00995,1498.776043,14.912821627850002
1762084800000,2025-11-02 12:00:00,ANKR/USD,0.01,0.01,0.01,0.01,0.0,0.0
1762081200000,2025-11-02 11:00:00,ANKR/USD,0.00995,0.01,0.00995,0.01,1498.831855,14.988318549999999
