https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1762210800000,2025-11-03 23:00:00,APE/USD,0.362,0.367,0.362,0.366,181.609934,66.469235844
1762207200000,2025-11-03 22:00:00,APE/USD,0.366,0.366,0.362,0.362,4000.0,1448.0
1762203600000,2025-11-03 21:00:00,APE/USD,0.363,0.367,0.36,0.366,893.779933,327.123455478
1762200000000,2025-11-03 20:00:00,APE/USD,0.37,0.37,0.363,0.363,1069.169252,388.10843847599995
1762196400000,2025-11-03 19:00:00,APE/USD,0.373,0.373,0.37,0.37,429.75,159.0075
1762192800000,2025-11-03 18:00:00,APE/USD,0.377,0.377,0.373,0.373,290.665207,108.418122211
1762189200000,2025-11-03 17:00:00,APE/USD,0.377,0.383,0.377,0.377,4119.708458,1553.1300886660001
1762185600000,2025-11-03 16:00:00,APE/USD,0.366,0.377,0.362,0.377,5541.260584,2089.0552401679997
1762182000000,2025-11-03 15:00:00,APE/USD,0.386,0.386,0.353,0.366,12936.22104,4734.6569006400005
1762178400000,2025-11-03 14:00:00,APE/USD,0.386,0.386,0.386,0.386,1.703574,0.657579564
1762174800000,2025-11-03 13:00:00,APE/USD,0.386,0.386,0.383,0.386,794.452738,306.658756868
1762171200000,2025-11-03 12:00:00,APE/USD,0.389,0.389,0.386,0.386,87.382674,33.729712164
1762167600000,2025-11-03 11:00:00,APE/USD,0.389,0.389,0.389,0.389,0.0,0.0
1762164000000,2025-11-03 10:00:00,APE/USD,0.389,0.389,0.389,0.389,0.0,0.0
1762160400000,2025-11-03 09:00:00,APE/USD,0.389,0.389,0.389,0.389,0.572984,0.222890776
1762156800000,2025-11-03 08:00:00,APE/USD,0.389,0.389,0.389,0.389,0.0,0.0
1762153200000,2025-11-03 07:00:00,APE/USD,0.378,0.389,0.378,0.389,15835.872487,6160.154397443001
1762149600000,2025-11-03 06:00:00,APE/USD,0.378,0.378,0.378,0.378,0.0,0.0
1762146000000,2025-11-03 05:00:00,APE/USD,0.378,0.378,0.378,0.378,0.0,0.0
1762142400000,2025-11-03 04:00:00,APE/USD,0.382,0.382,0.378,0.378,87.232143,32.973750054
1762138800000,2025-11-03 03:00:00,APE/USD,0.397,0.397,0.381,0.382,6737.228796,2573.621400072
1762135200000,2025-11-03 02:00:00,APE/USD,0.412,0.412,0.397,0.397,482.076142,191.384228374
1762131600000,2025-11-03 01:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762128000000,2025-11-03 00:00:00,APE/USD,0.41,0.412,0.41,0.412,23.623501,9.732882412
1762124400000,2025-11-02 23:00:00,APE/USD,0.406,0.41,0.406,0.41,167.536746,68.69006585999999
1762120800000,2025-11-02 22:00:00,APE/USD,0.405,0.406,0.405,0.406,449.470991,182.48522234600003
1762117200000,2025-11-02 21:00:00,APE/USD,0.4,0.405,0.4,0.405,277.140541,112.24191910500001
1762113600000,2025-11-02 20:00:00,APE/USD,0.4,0.4,0.399,0.4,301.739281,120.6957124
1762110000000,2025-11-02 19:00:00,APE/USD,0.4,0.4,0.4,0.4,0.0,0.0
1762106400000,2025-11-02 18:00:00,APE/USD,0.4,0.4,0.4,0.4,0.0,0.0
1762102800000,2025-11-02 17:00:00,APE/USD,0.4,0.4,0.4,0.4,0.0,0.0
1762099200000,2025-11-02 16:00:00,APE/USD,0.412,0.412,0.398,0.4,858.920245,343.568098
1762095600000,2025-11-02 15:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762092000000,2025-11-02 14:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762088400000,2025-11-02 13:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762084800000,2025-11-02 12:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762081200000,2025-11-02 11:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762077600000,2025-11-02 10:00:00,APE/USD,0.412,0.412,0.412,0.412,0.0,0.0
1762074000000,2025-11-02 09:00:00,APE/USD,0.416,0.416,0.412,0.412,300.798003,123.92877723599999
1762070400000,2025-11-02 08:00:00,APE/USD,0.416,0.416,0.416,0.416,0.0,0.0
1762066800000,2025-11-02 07:00:00,APE/USD,0.416,0.416,0.416,0.416,0.0,0.0
1762063200000,2025-11-02 06:00:00,APE/USD,0.416,0.416,0.416,0.416,362.684085,150.87657936
1762059600000,2025-11-02 05:00:00,APE/USD,0.415,0.416,0.415,0.416,1320.89,549.49024
1762056000000,2025-11-02 04:00:00,APE/USD,0.411,0.415,0.411,0.415,1643.943466,682.23653839
1762052400000,2025-11-02 03:00:00,APE/USD,0.411,0.411,0.411,0.411,0.0,0.0
1762048800000,2025-11-02 02:00:00,APE/USD,0.41,0.411,0.41,0.411,2683.325387,1102.8467340569998
1762045200000,2025-11-02 01:00:00,APE/USD,0.41,0.41,0.41,0.41,0.0,0.0
1762041600000,2025-11-02 00:00:00,APE/USD,0.406,0.41,0.406,0.41,164.208294,67.32540053999999
1762038000000,2025-11-01 23:00:00,APE/USD,0.406,0.406,0.406,0.406,0.0,0.0
1762034400000,2025-11-01 22:00:00,APE/USD,0.411,0.411,0.406,0.406,564.050189,229.00437673400003
1762030800000,2025-11-01 21:00:00,APE/USD,0.411,0.411,0.411,0.411,0.0,0.0
1762027200000,2025-11-01 20:00:00,APE/USD,0.411,0.411,0.409,0.411,2810.479942,1155.1072561619999
1762023600000,2025-11-01 19:00:00,APE/USD,0.409,0.412,0.409,0.411,2365.480954,972.212672094
1762020000000,2025-11-01 18:00:00,APE/USD,0.409,0.409,0.409,0.409,0.0,0.0
1762016400000,2025-11-01 17:00:00,APE/USD,0.409,0.409,0.409,0.409,0.0,0.0
1762012800000,2025-11-01 16:00:00,APE/USD,0.405,0.409,0.405,0.409,2.435246,0.9960156139999998
1762009200000,2025-11-01 15:00:00,APE/USD,0.406,0.406,0.403,0.405,1922.14634,778.4692677
1762005600000,2025-11-01 14:00:00,APE/USD,0.406,0.406,0.406,0.406,0.0,0.0
1762002000000,2025-11-01 13:00:00,APE/USD,0.406,0.406,0.406,0.406,0.0,0.0
1761998400000,2025-11-01 12:00:00,APE/USD,0.406,0.406,0.406,0.406,0.0,0.0
1761994800000,2025-11-01 11:00:00,APE/USD,0.393,0.406,0.393,0.406,73.958554,30.027172924000006
1761991200000,2025-11-01 10:00:00,APE/USD,0.393,0.393,0.393,0.393,0.0,0.0
1761987600000,2025-11-01 09:00:00,APE/USD,0.393,0.393,0.393,0.393,0.0,0.0
1761984000000,2025-11-01 08:00:00,APE/USD,0.393,0.393,0.393,0.393,0.0,0.0
