https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1762210800000,2025-11-03 23:00:00,CUBE/USD,0.2845,0.2845,0.2647,0.2647,184.1997,48.75766059
1762207200000,2025-11-03 22:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762203600000,2025-11-03 21:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762200000000,2025-11-03 20:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762196400000,2025-11-03 19:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762192800000,2025-11-03 18:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762189200000,2025-11-03 17:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762185600000,2025-11-03 16:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762182000000,2025-11-03 15:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762178400000,2025-11-03 14:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762174800000,2025-11-03 13:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762171200000,2025-11-03 12:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762167600000,2025-11-03 11:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,3.427627,0.9751598815
1762164000000,2025-11-03 10:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762160400000,2025-11-03 09:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762156800000,2025-11-03 08:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762153200000,2025-11-03 07:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762149600000,2025-11-03 06:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762146000000,2025-11-03 05:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762142400000,2025-11-03 04:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762138800000,2025-11-03 03:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762135200000,2025-11-03 02:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762131600000,2025-11-03 01:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762128000000,2025-11-03 00:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762124400000,2025-11-02 23:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762120800000,2025-11-02 22:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762117200000,2025-11-02 21:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,6.855254,1.950319763
1762113600000,2025-11-02 20:00:00,CUBE/USD,0.2845,0.2845,0.2845,0.2845,0.0,0.0
1762110000000,2025-11-02 19:00:00,CUBE/USD,0.285,0.285,0.2845,0.2845,17.138135,4.875799407499999
1762106400000,2025-11-02 18:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762102800000,2025-11-02 17:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762099200000,2025-11-02 16:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762095600000,2025-11-02 15:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762092000000,2025-11-02 14:00:00,CUBE/USD,0.285,0.285,0.2748,0.285,451.263632,128.61013512
1762088400000,2025-11-02 13:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762084800000,2025-11-02 12:00:00,CUBE/USD,0.285,0.285,0.285,0.285,82.565126,23.53106091
1762081200000,2025-11-02 11:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762077600000,2025-11-02 10:00:00,CUBE/USD,0.285,0.285,0.285,0.285,5.61167,1.5993259499999999
1762074000000,2025-11-02 09:00:00,CUBE/USD,0.285,0.285,0.2849,0.285,173.000359,49.305102315
1762070400000,2025-11-02 08:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762066800000,2025-11-02 07:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.237102,0.06757407
1762063200000,2025-11-02 06:00:00,CUBE/USD,0.285,0.285,0.285,0.285,0.0,0.0
1762059600000,2025-11-02 05:00:00,CUBE/USD,0.2748,0.285,0.2748,0.285,855.418548,243.79428617999997
1762056000000,2025-11-02 04:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,3344.326141,919.0208235468
1762052400000,2025-11-02 03:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,17.743155,4.875818994
1762048800000,2025-11-02 02:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,0.0,0.0
1762045200000,2025-11-02 01:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,0.0,0.0
1762041600000,2025-11-02 00:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,70.972622,19.5032765256
1762038000000,2025-11-01 23:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,56.778097,15.6026210556
