https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FET,Volume USD
1762210800000,2025-11-03 23:00:00,FET/USD,0.20705,0.2101,0.20677,0.20878,8906.428154,1859.4840699921199
1762207200000,2025-11-03 22:00:00,FET/USD,0.20799,0.20799,0.20579,0.20705,7949.441123,1645.93178451715
1762203600000,2025-11-03 21:00:00,FET/USD,0.20331,0.20833,0.20331,0.20799,42136.122121,8763.89203994679
1762200000000,2025-11-03 20:00:00,FET/USD,0.20977,0.20977,0.20331,0.20331,19459.253653,3956.26086019143
1762196400000,2025-11-03 19:00:00,FET/USD,0.21169,0.21169,0.2,0.20977,196577.728285,41236.11006234445
1762192800000,2025-11-03 18:00:00,FET/USD,0.21596,0.21596,0.21169,0.21169,37792.347914,8000.262129914659
1762189200000,2025-11-03 17:00:00,FET/USD,0.21143,0.21761,0.21143,0.21596,2700.68079,583.2390234084
1762185600000,2025-11-03 16:00:00,FET/USD,0.20954,0.21397,0.20786,0.21143,112368.480309,23758.06779173187
1762182000000,2025-11-03 15:00:00,FET/USD,0.229,0.229,0.2,0.20954,324729.84697,68043.89213409381
1762178400000,2025-11-03 14:00:00,FET/USD,0.22751,0.2292,0.22492,0.229,251282.994995,57543.805853854996
1762174800000,2025-11-03 13:00:00,FET/USD,0.22869,0.23086,0.22588,0.22751,4020.522892,914.70916315892
1762171200000,2025-11-03 12:00:00,FET/USD,0.22718,0.22869,0.22718,0.22869,2650.243363,606.08415468447
1762167600000,2025-11-03 11:00:00,FET/USD,0.22603,0.22981,0.22603,0.22718,16788.248428,3813.9542778730397
1762164000000,2025-11-03 10:00:00,FET/USD,0.22844,0.22957,0.22603,0.22603,996.078876,225.14370834228
1762160400000,2025-11-03 09:00:00,FET/USD,0.23043,0.23204,0.22844,0.22844,290.803018,66.43104143192001
1762156800000,2025-11-03 08:00:00,FET/USD,0.2311,0.2311,0.22884,0.23043,764.763504,176.22445422672
1762153200000,2025-11-03 07:00:00,FET/USD,0.22874,0.23265,0.22874,0.2311,2623.284316,606.2410054276
1762149600000,2025-11-03 06:00:00,FET/USD,0.23018,0.23086,0.22834,0.22874,6569.413138,1502.6875611861199
1762146000000,2025-11-03 05:00:00,FET/USD,0.23201,0.23423,0.23018,0.23018,6864.307602,1580.0263238283599
1762142400000,2025-11-03 04:00:00,FET/USD,0.2323,0.23245,0.22835,0.23201,27337.04773,6342.4684438373
1762138800000,2025-11-03 03:00:00,FET/USD,0.238,0.23801,0.2323,0.2323,66663.564738,15485.9460886374
1762135200000,2025-11-03 02:00:00,FET/USD,0.24019,0.24019,0.236,0.238,194985.678884,46406.591574392
1762131600000,2025-11-03 01:00:00,FET/USD,0.24304,0.24304,0.23978,0.24019,11432.170069,2745.8929288731097
