https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1762210800000,2025-11-03 23:00:00,GRT/USD,0.056,0.0566,0.0557,0.0566,12343.500549,698.6421310734
1762207200000,2025-11-03 22:00:00,GRT/USD,0.0559,0.0564,0.0559,0.056,5895.115356,330.126459936
1762203600000,2025-11-03 21:00:00,GRT/USD,0.0555,0.0559,0.0555,0.0559,4544.013485,254.0103538115
1762200000000,2025-11-03 20:00:00,GRT/USD,0.0569,0.0569,0.0555,0.0555,5792.691702,321.494389461
1762196400000,2025-11-03 19:00:00,GRT/USD,0.057,0.057,0.0569,0.0569,6233.409907,354.6810237083
1762192800000,2025-11-03 18:00:00,GRT/USD,0.0583,0.0583,0.057,0.057,252631.578947,14399.999999979
1762189200000,2025-11-03 17:00:00,GRT/USD,0.0575,0.0583,0.0575,0.0583,1318.71067,76.88083206099999
1762185600000,2025-11-03 16:00:00,GRT/USD,0.0571,0.0575,0.0571,0.0575,17354.185979,997.8656937925001
1762182000000,2025-11-03 15:00:00,GRT/USD,0.0595,0.0595,0.0551,0.0571,79818.392564,4557.6302154044
1762178400000,2025-11-03 14:00:00,GRT/USD,0.0594,0.0595,0.0594,0.0595,1800.0,107.1
1762174800000,2025-11-03 13:00:00,GRT/USD,0.0599,0.0599,0.0591,0.0594,3508.997539,208.4344538166
1762171200000,2025-11-03 12:00:00,GRT/USD,0.0596,0.0599,0.0596,0.0599,2.569673,0.15392341269999998
1762167600000,2025-11-03 11:00:00,GRT/USD,0.059,0.0596,0.059,0.0596,1786.85403,106.496500188
1762164000000,2025-11-03 10:00:00,GRT/USD,0.0597,0.0597,0.059,0.059,847.457627,49.999999992999996
1762160400000,2025-11-03 09:00:00,GRT/USD,0.0597,0.0597,0.0597,0.0597,0.0,0.0
1762156800000,2025-11-03 08:00:00,GRT/USD,0.0597,0.0597,0.0597,0.0597,0.0,0.0
1762153200000,2025-11-03 07:00:00,GRT/USD,0.0611,0.0611,0.0597,0.0597,6155.025795,367.4550399615
1762149600000,2025-11-03 06:00:00,GRT/USD,0.0611,0.0611,0.0611,0.0611,0.0,0.0
1762146000000,2025-11-03 05:00:00,GRT/USD,0.0607,0.0611,0.0607,0.0611,161.744929,9.8826151619
1762142400000,2025-11-03 04:00:00,GRT/USD,0.0617,0.0617,0.0598,0.0607,35548.388128,2157.7871593696
1762138800000,2025-11-03 03:00:00,GRT/USD,0.062,0.062,0.0617,0.0617,4240.835253,261.6595351101
1762135200000,2025-11-03 02:00:00,GRT/USD,0.063,0.063,0.062,0.062,410.981711,25.480866082000002
1762131600000,2025-11-03 01:00:00,GRT/USD,0.065,0.065,0.063,0.063,6796.786287,428.197536081
1762128000000,2025-11-03 00:00:00,GRT/USD,0.0638,0.065,0.0638,0.065,1197.537536,77.83993984
1762124400000,2025-11-02 23:00:00,GRT/USD,0.0638,0.0638,0.0638,0.0638,0.0,0.0
1762120800000,2025-11-02 22:00:00,GRT/USD,0.0633,0.0641,0.0633,0.0638,17330.81954,1105.706286652
1762117200000,2025-11-02 21:00:00,GRT/USD,0.0631,0.0633,0.0631,0.0633,500.0,31.65
1762113600000,2025-11-02 20:00:00,GRT/USD,0.0631,0.0631,0.063,0.0631,1347.5192,85.02846152000001
1762110000000,2025-11-02 19:00:00,GRT/USD,0.063,0.0634,0.0628,0.0631,16255.390103,1025.7151154993
1762106400000,2025-11-02 18:00:00,GRT/USD,0.063,0.063,0.063,0.063,0.0,0.0
1762102800000,2025-11-02 17:00:00,GRT/USD,0.0648,0.0648,0.063,0.063,13125.090137,826.8806786309999
1762099200000,2025-11-02 16:00:00,GRT/USD,0.0648,0.0648,0.0648,0.0648,0.0,0.0
1762095600000,2025-11-02 15:00:00,GRT/USD,0.0627,0.0657,0.0627,0.0648,771.871557,50.0172768936
1762092000000,2025-11-02 14:00:00,GRT/USD,0.0642,0.0642,0.0627,0.0627,1536.925495,96.36522853650001
1762088400000,2025-11-02 13:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762084800000,2025-11-02 12:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762081200000,2025-11-02 11:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762077600000,2025-11-02 10:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762074000000,2025-11-02 09:00:00,GRT/USD,0.0643,0.0643,0.0642,0.0642,121.429892,7.795799066399999
1762070400000,2025-11-02 08:00:00,GRT/USD,0.0643,0.0643,0.0643,0.0643,0.0,0.0
1762066800000,2025-11-02 07:00:00,GRT/USD,0.0643,0.0643,0.0643,0.0643,0.0,0.0
1762063200000,2025-11-02 06:00:00,GRT/USD,0.0643,0.0643,0.0643,0.0643,0.0,0.0
1762059600000,2025-11-02 05:00:00,GRT/USD,0.0642,0.0643,0.0642,0.0643,414.953846,26.681532297799997
1762056000000,2025-11-02 04:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762052400000,2025-11-02 03:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762048800000,2025-11-02 02:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762045200000,2025-11-02 01:00:00,GRT/USD,0.0642,0.0642,0.0642,0.0642,0.0,0.0
1762041600000,2025-11-02 00:00:00,GRT/USD,0.0638,0.0642,0.0638,0.0642,1517.873651,97.4474883942
1762038000000,2025-11-01 23:00:00,GRT/USD,0.0646,0.0646,0.0638,0.0638,6289.899842,401.29560991959994
1762034400000,2025-11-01 22:00:00,GRT/USD,0.0646,0.0646,0.0646,0.0646,0.0,0.0
1762030800000,2025-11-01 21:00:00,GRT/USD,0.0646,0.0646,0.0646,0.0646,0.0,0.0
1762027200000,2025-11-01 20:00:00,GRT/USD,0.0642,0.0646,0.0642,0.0646,363.733485,23.497183131
1762023600000,2025-11-01 19:00:00,GRT/USD,0.0641,0.0642,0.0641,0.0642,68.303543,4.385087460599999
1762020000000,2025-11-01 18:00:00,GRT/USD,0.0639,0.0641,0.0639,0.0641,273.638888,17.5402527208
1762016400000,2025-11-01 17:00:00,GRT/USD,0.0642,0.0642,0.0638,0.0639,252.758986,16.1512992054
1762012800000,2025-11-01 16:00:00,GRT/USD,0.0638,0.0642,0.0638,0.0642,0.385463,0.0247467246
1762009200000,2025-11-01 15:00:00,GRT/USD,0.0636,0.0638,0.0636,0.0638,2290.930232,146.1613488016
1762005600000,2025-11-01 14:00:00,GRT/USD,0.064,0.064,0.0636,0.0636,11913.579838,757.7036776968
1762002000000,2025-11-01 13:00:00,GRT/USD,0.0634,0.064,0.0634,0.064,1522.565687,97.44420396800001
1761998400000,2025-11-01 12:00:00,GRT/USD,0.0634,0.0634,0.0634,0.0634,0.0,0.0
1761994800000,2025-11-01 11:00:00,GRT/USD,0.0634,0.0634,0.0634,0.0634,0.0,0.0
1761991200000,2025-11-01 10:00:00,GRT/USD,0.0634,0.0634,0.0634,0.0634,0.0,0.0
1761987600000,2025-11-01 09:00:00,GRT/USD,0.0614,0.0634,0.0614,0.0634,238.244632,15.1047096688
1761984000000,2025-11-01 08:00:00,GRT/USD,0.0614,0.0614,0.0614,0.0614,0.0,0.0
1761980400000,2025-11-01 07:00:00,GRT/USD,0.0614,0.0614,0.0614,0.0614,0.0,0.0
1761976800000,2025-11-01 06:00:00,GRT/USD,0.0613,0.0614,0.0613,0.0614,106.215644,6.5216405416
1761973200000,2025-11-01 05:00:00,GRT/USD,0.0617,0.0617,0.0613,0.0613,1217.119946,74.60945268980001
1761969600000,2025-11-01 04:00:00,GRT/USD,0.0617,0.0617,0.0617,0.0617,0.0,0.0
1761966000000,2025-11-01 03:00:00,GRT/USD,0.0613,0.0617,0.0613,0.0617,695.475137,42.9108159529
1761962400000,2025-11-01 02:00:00,GRT/USD,0.0613,0.0613,0.0613,0.0613,674.481072,41.3456897136
1761958800000,2025-11-01 01:00:00,GRT/USD,0.0613,0.0613,0.0613,0.0613,0.0,0.0
1761955200000,2025-11-01 00:00:00,GRT/USD,0.0616,0.0616,0.0613,0.0613,676.0,41.4388
1761951600000,2025-10-31 23:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761948000000,2025-10-31 22:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761944400000,2025-10-31 21:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761940800000,2025-10-31 20:00:00,GRT/USD,0.0621,0.0621,0.0616,0.0616,1109.346846,68.3357657136
1761937200000,2025-10-31 19:00:00,GRT/USD,0.0618,0.0621,0.0618,0.0621,20405.630269,1267.1896397049002
1761933600000,2025-10-31 18:00:00,GRT/USD,0.0618,0.0618,0.0618,0.0618,0.0,0.0
1761930000000,2025-10-31 17:00:00,GRT/USD,0.0619,0.0619,0.0607,0.0618,1826.16,112.856688
1761926400000,2025-10-31 16:00:00,GRT/USD,0.0624,0.0624,0.0619,0.0619,15.736421,0.9740844598999999
1761922800000,2025-10-31 15:00:00,GRT/USD,0.062,0.0624,0.062,0.0624,2958.773858,184.6274887392
1761919200000,2025-10-31 14:00:00,GRT/USD,0.0622,0.0622,0.062,0.062,734.053651,45.511326362
1761915600000,2025-10-31 13:00:00,GRT/USD,0.0623,0.0623,0.0621,0.0622,12243.822888,761.5657836336001
1761912000000,2025-10-31 12:00:00,GRT/USD,0.0616,0.0623,0.0616,0.0623,3.246754,0.2022727742
1761908400000,2025-10-31 11:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761904800000,2025-10-31 10:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761901200000,2025-10-31 09:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761897600000,2025-10-31 08:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761894000000,2025-10-31 07:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761890400000,2025-10-31 06:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761886800000,2025-10-31 05:00:00,GRT/USD,0.0621,0.0621,0.0615,0.0616,3394.659647,209.1110342552
1761883200000,2025-10-31 04:00:00,GRT/USD,0.0615,0.0621,0.0615,0.0621,264.0,16.3944
1761879600000,2025-10-31 03:00:00,GRT/USD,0.0616,0.0616,0.0615,0.0615,158.376205,9.7401366075
1761876000000,2025-10-31 02:00:00,GRT/USD,0.0616,0.0616,0.0616,0.0616,0.0,0.0
1761872400000,2025-10-31 01:00:00,GRT/USD,0.0604,0.0616,0.0604,0.0616,1581.219903,97.4031460248
1761868800000,2025-10-31 00:00:00,GRT/USD,0.0604,0.0604,0.0604,0.0604,0.0,0.0
1761865200000,2025-10-30 23:00:00,GRT/USD,0.0603,0.0604,0.0603,0.0604,9.228188,0.5573825552
1761861600000,2025-10-30 22:00:00,GRT/USD,0.0596,0.0603,0.0596,0.0603,3076.923076,185.5384614828
1761858000000,2025-10-30 21:00:00,GRT/USD,0.0596,0.0596,0.0596,0.0596,80.338541,4.7881770436
1761854400000,2025-10-30 20:00:00,GRT/USD,0.0596,0.0596,0.0592,0.0596,14497.993809,864.0804310164
1761850800000,2025-10-30 19:00:00,GRT/USD,0.0596,0.0596,0.0596,0.0596,0.0,0.0
1761847200000,2025-10-30 18:00:00,GRT/USD,0.0603,0.0609,0.0595,0.0596,134977.022306,8044.6305294376
1761843600000,2025-10-30 17:00:00,GRT/USD,0.0609,0.0609,0.0603,0.0603,7.775806,0.46888110180000003
1761840000000,2025-10-30 16:00:00,GRT/USD,0.0604,0.0609,0.0601,0.0609,8616.284578,524.7317308002
1761836400000,2025-10-30 15:00:00,GRT/USD,0.0602,0.0605,0.0602,0.0604,833.34124,50.333810896
1761832800000,2025-10-30 14:00:00,GRT/USD,0.0603,0.0606,0.0602,0.0602,2716.861738,163.5550766276
1761829200000,2025-10-30 13:00:00,GRT/USD,0.0623,0.0623,0.0603,0.0603,1386.052483,83.57896472489999
1761825600000,2025-10-30 12:00:00,GRT/USD,0.0629,0.0629,0.0623,0.0623,603.210272,37.5799999456
1761822000000,2025-10-30 11:00:00,GRT/USD,0.0629,0.0629,0.0629,0.0629,0.0,0.0
1761818400000,2025-10-30 10:00:00,GRT/USD,0.0629,0.0629,0.0629,0.0629,0.0,0.0
1761814800000,2025-10-30 09:00:00,GRT/USD,0.0622,0.0629,0.0622,0.0629,185.867924,11.691092419599999
1761811200000,2025-10-30 08:00:00,GRT/USD,0.0622,0.0622,0.0622,0.0622,0.0,0.0
1761807600000,2025-10-30 07:00:00,GRT/USD,0.0622,0.0622,0.0622,0.0622,0.0,0.0
1761804000000,2025-10-30 06:00:00,GRT/USD,0.0622,0.0622,0.0622,0.0622,0.0,0.0
1761800400000,2025-10-30 05:00:00,GRT/USD,0.0635,0.0635,0.0622,0.0622,156.613672,9.7413703984
1761796800000,2025-10-30 04:00:00,GRT/USD,0.0635,0.0635,0.0635,0.0635,0.0,0.0
1761793200000,2025-10-30 03:00:00,GRT/USD,0.0635,0.0635,0.0635,0.0635,0.0,0.0
1761789600000,2025-10-30 02:00:00,GRT/USD,0.0635,0.0635,0.0635,0.0635,0.0,0.0
1761786000000,2025-10-30 01:00:00,GRT/USD,0.0635,0.0635,0.0635,0.0635,0.0,0.0
1761782400000,2025-10-30 00:00:00,GRT/USD,0.0641,0.0641,0.0633,0.0635,959.593714,60.934200839
