https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MASK,Volume USD
1762210800000,2025-11-03 23:00:00,MASK/USD,0.776,0.776,0.776,0.776,0.0,0.0
1762207200000,2025-11-03 22:00:00,MASK/USD,0.776,0.776,0.776,0.776,0.0,0.0
1762203600000,2025-11-03 21:00:00,MASK/USD,0.776,0.776,0.776,0.776,0.0,0.0
1762200000000,2025-11-03 20:00:00,MASK/USD,0.776,0.776,0.776,0.776,0.0,0.0
1762196400000,2025-11-03 19:00:00,MASK/USD,0.776,0.776,0.776,0.776,0.0,0.0
1762192800000,2025-11-03 18:00:00,MASK/USD,0.776,0.776,0.776,0.776,0.0,0.0
1762189200000,2025-11-03 17:00:00,MASK/USD,0.743,0.776,0.743,0.776,19.686745,15.276914119999999
1762185600000,2025-11-03 16:00:00,MASK/USD,0.743,0.743,0.743,0.743,0.0,0.0
1762182000000,2025-11-03 15:00:00,MASK/USD,0.84,0.84,0.743,0.743,302.278848,224.59318406399998
1762178400000,2025-11-03 14:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762174800000,2025-11-03 13:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762171200000,2025-11-03 12:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762167600000,2025-11-03 11:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762164000000,2025-11-03 10:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762160400000,2025-11-03 09:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762156800000,2025-11-03 08:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762153200000,2025-11-03 07:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762149600000,2025-11-03 06:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762146000000,2025-11-03 05:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762142400000,2025-11-03 04:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762138800000,2025-11-03 03:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762135200000,2025-11-03 02:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762131600000,2025-11-03 01:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762128000000,2025-11-03 00:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762124400000,2025-11-02 23:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762120800000,2025-11-02 22:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762117200000,2025-11-02 21:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762113600000,2025-11-02 20:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762110000000,2025-11-02 19:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762106400000,2025-11-02 18:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762102800000,2025-11-02 17:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762099200000,2025-11-02 16:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762095600000,2025-11-02 15:00:00,MASK/USD,0.84,0.84,0.84,0.84,0.0,0.0
1762092000000,2025-11-02 14:00:00,MASK/USD,0.855,0.855,0.84,0.84,2.320376,1.94911584
1762088400000,2025-11-02 13:00:00,MASK/USD,0.855,0.855,0.855,0.855,0.0,0.0
1762084800000,2025-11-02 12:00:00,MASK/USD,0.854,0.855,0.854,0.855,5.976941,5.110284555
1762081200000,2025-11-02 11:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762077600000,2025-11-02 10:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762074000000,2025-11-02 09:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762070400000,2025-11-02 08:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762066800000,2025-11-02 07:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762063200000,2025-11-02 06:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762059600000,2025-11-02 05:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762056000000,2025-11-02 04:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762052400000,2025-11-02 03:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762048800000,2025-11-02 02:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762045200000,2025-11-02 01:00:00,MASK/USD,0.854,0.854,0.854,0.854,0.0,0.0
1762041600000,2025-11-02 00:00:00,MASK/USD,0.821,0.854,0.821,0.854,22.829663,19.496532202
1762038000000,2025-11-01 23:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762034400000,2025-11-01 22:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762030800000,2025-11-01 21:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762027200000,2025-11-01 20:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762023600000,2025-11-01 19:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762020000000,2025-11-01 18:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762016400000,2025-11-01 17:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762012800000,2025-11-01 16:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762009200000,2025-11-01 15:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762005600000,2025-11-01 14:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1762002000000,2025-11-01 13:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761998400000,2025-11-01 12:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761994800000,2025-11-01 11:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761991200000,2025-11-01 10:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761987600000,2025-11-01 09:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761984000000,2025-11-01 08:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761980400000,2025-11-01 07:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761976800000,2025-11-01 06:00:00,MASK/USD,0.821,0.821,0.821,0.821,0.0,0.0
1761973200000,2025-11-01 05:00:00,MASK/USD,0.81,0.821,0.81,0.821,118.686746,97.441818466
1761969600000,2025-11-01 04:00:00,MASK/USD,0.81,0.81,0.81,0.81,0.0,0.0
1761966000000,2025-11-01 03:00:00,MASK/USD,0.81,0.81,0.81,0.81,0.0,0.0
1761962400000,2025-11-01 02:00:00,MASK/USD,0.815,0.818,0.81,0.81,288.558541,233.73241821000002
1761958800000,2025-11-01 01:00:00,MASK/USD,0.815,0.815,0.815,0.815,0.0,0.0
1761955200000,2025-11-01 00:00:00,MASK/USD,0.815,0.815,0.815,0.815,0.0,0.0
1761951600000,2025-10-31 23:00:00,MASK/USD,0.815,0.815,0.815,0.815,0.0,0.0
1761948000000,2025-10-31 22:00:00,MASK/USD,0.823,0.823,0.815,0.815,5.976941,4.871206915
1761944400000,2025-10-31 21:00:00,MASK/USD,0.823,0.823,0.823,0.823,0.0,0.0
1761940800000,2025-10-31 20:00:00,MASK/USD,0.823,0.823,0.823,0.823,0.0,0.0
1761937200000,2025-10-31 19:00:00,MASK/USD,0.823,0.823,0.823,0.823,0.0,0.0
1761933600000,2025-10-31 18:00:00,MASK/USD,0.823,0.823,0.823,0.823,0.0,0.0
1761930000000,2025-10-31 17:00:00,MASK/USD,0.823,0.823,0.823,0.823,0.0,0.0
1761926400000,2025-10-31 16:00:00,MASK/USD,0.823,0.823,0.823,0.823,0.0,0.0
1761922800000,2025-10-31 15:00:00,MASK/USD,0.808,0.823,0.808,0.823,18.944711,15.591497153
1761919200000,2025-10-31 14:00:00,MASK/USD,0.808,0.808,0.808,0.808,0.0,0.0
1761915600000,2025-10-31 13:00:00,MASK/USD,0.808,0.808,0.808,0.808,0.0,0.0
1761912000000,2025-10-31 12:00:00,MASK/USD,0.797,0.808,0.797,0.808,21.175408,17.109729664000003
1761908400000,2025-10-31 11:00:00,MASK/USD,0.797,0.797,0.797,0.797,0.0,0.0
1761904800000,2025-10-31 10:00:00,MASK/USD,0.786,0.797,0.786,0.797,10.721375,8.544935875
1761901200000,2025-10-31 09:00:00,MASK/USD,0.786,0.786,0.786,0.786,0.0,0.0
1761897600000,2025-10-31 08:00:00,MASK/USD,0.786,0.786,0.786,0.786,0.0,0.0
1761894000000,2025-10-31 07:00:00,MASK/USD,0.786,0.786,0.786,0.786,0.0,0.0
1761890400000,2025-10-31 06:00:00,MASK/USD,0.786,0.786,0.786,0.786,0.0,0.0
1761886800000,2025-10-31 05:00:00,MASK/USD,0.786,0.786,0.786,0.786,0.0,0.0
1761883200000,2025-10-31 04:00:00,MASK/USD,0.786,0.786,0.786,0.786,0.0,0.0
