https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1755558000000,2025-08-18 23:00:00,MATIC/USD,0.2567,0.25994,0.25514,0.25994,33374.306619,8675.317262542861
1755554400000,2025-08-18 22:00:00,MATIC/USD,0.25283,0.26,0.25283,0.2567,2454.796922,630.1463698773999
1755550800000,2025-08-18 21:00:00,MATIC/USD,0.2492,0.25283,0.2492,0.25283,793.623648,200.65186692384
1755547200000,2025-08-18 20:00:00,MATIC/USD,0.25404,0.25484,0.2492,0.2492,2104.709221,524.4935378732
1755543600000,2025-08-18 19:00:00,MATIC/USD,0.25135,0.25404,0.24981,0.25404,11614.538462,2950.55735088648
1755540000000,2025-08-18 18:00:00,MATIC/USD,0.2516,0.2516,0.25008,0.25135,266.70584,67.036512884
1755536400000,2025-08-18 17:00:00,MATIC/USD,0.25008,0.25419,0.25008,0.2516,5363.810592,1349.5347449472
1755532800000,2025-08-18 16:00:00,MATIC/USD,0.255,0.25911,0.25008,0.25008,20640.113823,5161.67966485584
1755529200000,2025-08-18 15:00:00,MATIC/USD,0.25269,0.255,0.25017,0.255,80256.74701,20465.470487550003
1755525600000,2025-08-18 14:00:00,MATIC/USD,0.25179,0.25269,0.24691,0.25269,19979.755337,5048.68437610653
1755522000000,2025-08-18 13:00:00,MATIC/USD,0.25001,0.25179,0.25001,0.25179,8419.047784,2119.83204153336
1755518400000,2025-08-18 12:00:00,MATIC/USD,0.24668,0.25001,0.24668,0.25001,556.49647,139.1296824647
1755514800000,2025-08-18 11:00:00,MATIC/USD,0.24948,0.24948,0.245,0.24668,26736.390729,6595.33286502972
1755511200000,2025-08-18 10:00:00,MATIC/USD,0.24749,0.24948,0.24749,0.24948,735.111615,183.3956457102
1755507600000,2025-08-18 09:00:00,MATIC/USD,0.24254,0.24749,0.24019,0.24749,1592.536795,394.13693139455
1755504000000,2025-08-18 08:00:00,MATIC/USD,0.24361,0.24749,0.23763,0.24254,7121.942522,1727.3559392858801
