https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USD
1764802800000,2025-12-03 23:00:00,INJ/USD,6.0539,6.0539,5.9761,6.002,998.532394,5993.191428788
1764799200000,2025-12-03 22:00:00,INJ/USD,6.0132,6.0539,6.0132,6.0539,32.813803,198.6514819817
1764795600000,2025-12-03 21:00:00,INJ/USD,5.9462,6.0132,5.9462,6.0132,317.602212,1909.8056211984
1764792000000,2025-12-03 20:00:00,INJ/USD,5.9655,5.9655,5.9433,5.9462,114.811608,682.6927834896001
1764788400000,2025-12-03 19:00:00,INJ/USD,5.9655,5.9655,5.9655,5.9655,0.0,0.0
1764784800000,2025-12-03 18:00:00,INJ/USD,5.899,5.9655,5.899,5.9655,13.37058,79.76219499
1764781200000,2025-12-03 17:00:00,INJ/USD,5.899,5.899,5.899,5.899,0.0,0.0
1764777600000,2025-12-03 16:00:00,INJ/USD,5.899,5.899,5.899,5.899,0.0,0.0
1764774000000,2025-12-03 15:00:00,INJ/USD,5.8615,5.899,5.8615,5.899,101.461133,598.519223567
1764770400000,2025-12-03 14:00:00,INJ/USD,5.84,5.8615,5.84,5.8615,44.953605,263.49555570750005
1764766800000,2025-12-03 13:00:00,INJ/USD,5.8591,5.8591,5.8373,5.84,514.8567,3006.763128
1764763200000,2025-12-03 12:00:00,INJ/USD,5.8591,5.8591,5.8591,5.8591,0.0,0.0
1764759600000,2025-12-03 11:00:00,INJ/USD,5.8591,5.8591,5.8591,5.8591,0.0,0.0
1764756000000,2025-12-03 10:00:00,INJ/USD,5.8591,5.8591,5.8591,5.8591,0.0,0.0
1764752400000,2025-12-03 09:00:00,INJ/USD,5.8591,5.8591,5.8591,5.8591,0.0,0.0
1764748800000,2025-12-03 08:00:00,INJ/USD,5.8591,5.8591,5.8591,5.8591,0.0,0.0
1764745200000,2025-12-03 07:00:00,INJ/USD,5.902,5.902,5.8591,5.8591,153.388605,898.7191755555
1764741600000,2025-12-03 06:00:00,INJ/USD,5.9152,5.95,5.902,5.902,84.772636,500.32809767200007
1764738000000,2025-12-03 05:00:00,INJ/USD,5.8614,5.9283,5.8614,5.9152,2.61277,15.455057103999998
1764734400000,2025-12-03 04:00:00,INJ/USD,5.8614,5.8614,5.8614,5.8614,0.0,0.0
1764730800000,2025-12-03 03:00:00,INJ/USD,5.8614,5.8614,5.8614,5.8614,0.0,0.0
1764727200000,2025-12-03 02:00:00,INJ/USD,5.8337,5.874,5.8337,5.8614,34.483992,202.1244707088
1764723600000,2025-12-03 01:00:00,INJ/USD,5.8325,5.8337,5.8325,5.8337,7.42791,43.332198567
1764720000000,2025-12-03 00:00:00,INJ/USD,5.8472,5.8472,5.8325,5.8325,140.209341,817.7709813824999
1764716400000,2025-12-02 23:00:00,INJ/USD,5.783,5.8901,5.783,5.8472,86.740813,507.19088177360004
1764712800000,2025-12-02 22:00:00,INJ/USD,5.7786,5.783,5.7786,5.783,7.082155,40.95610236500001
1764709200000,2025-12-02 21:00:00,INJ/USD,5.8592,5.8592,5.7786,5.7786,4.219638,24.3836001468
1764705600000,2025-12-02 20:00:00,INJ/USD,5.8592,5.8592,5.8592,5.8592,0.0,0.0
1764702000000,2025-12-02 19:00:00,INJ/USD,5.8592,5.8592,5.8592,5.8592,0.0,0.0
1764698400000,2025-12-02 18:00:00,INJ/USD,5.8645,5.8645,5.8592,5.8592,3.995133,23.408283273600002
1764694800000,2025-12-02 17:00:00,INJ/USD,5.761,5.8645,5.761,5.8645,47.437403,278.1966498935
1764691200000,2025-12-02 16:00:00,INJ/USD,5.7764,5.7764,5.7548,5.761,24.015278,138.352016558
