https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USD
1764802800000,2025-12-03 23:00:00,QNT/USD,97.05,97.05,93.44,95.04,44.967811,4273.74075744
1764799200000,2025-12-03 22:00:00,QNT/USD,97.05,100.23,96.25,97.05,20.171808,1957.6739663999997
1764795600000,2025-12-03 21:00:00,QNT/USD,97.05,98.34,96.0,97.05,11.031913,1070.64715665
1764792000000,2025-12-03 20:00:00,QNT/USD,96.0,97.05,96.0,97.05,3.502216,339.8900628
1764788400000,2025-12-03 19:00:00,QNT/USD,97.0,97.0,95.29,96.0,7.812035,749.9553599999999
1764784800000,2025-12-03 18:00:00,QNT/USD,95.02,97.0,93.94,97.0,79.642823,7725.353831
1764781200000,2025-12-03 17:00:00,QNT/USD,94.46,95.02,94.36,95.02,2.759597,262.21690694
1764777600000,2025-12-03 16:00:00,QNT/USD,96.0,97.73,94.46,94.46,0.677867,64.03131682
1764774000000,2025-12-03 15:00:00,QNT/USD,97.7,97.7,96.0,96.0,1.656144,158.989824
1764770400000,2025-12-03 14:00:00,QNT/USD,96.21,97.7,96.04,97.7,3.534613,345.3316901
1764766800000,2025-12-03 13:00:00,QNT/USD,97.38,97.87,96.21,96.21,4.332432,416.82328271999995
1764763200000,2025-12-03 12:00:00,QNT/USD,96.45,97.38,96.45,97.38,0.259776,25.29698688
1764759600000,2025-12-03 11:00:00,QNT/USD,94.85,96.67,94.5,96.45,14.647471,1412.74857795
1764756000000,2025-12-03 10:00:00,QNT/USD,96.09,96.09,94.85,94.85,0.499695,47.39607075
1764752400000,2025-12-03 09:00:00,QNT/USD,96.5,96.5,96.02,96.09,9.136335,877.9104301500001
1764748800000,2025-12-03 08:00:00,QNT/USD,96.83,96.84,96.5,96.5,5.087141,490.9091065
1764745200000,2025-12-03 07:00:00,QNT/USD,96.44,96.83,94.85,96.83,109.030018,10557.37664294
1764741600000,2025-12-03 06:00:00,QNT/USD,96.44,96.44,96.44,96.44,0.0,0.0
1764738000000,2025-12-03 05:00:00,QNT/USD,98.06,98.06,96.44,96.44,0.022462,2.16623528
1764734400000,2025-12-03 04:00:00,QNT/USD,98.06,98.06,98.06,98.06,0.0,0.0
1764730800000,2025-12-03 03:00:00,QNT/USD,96.1,98.06,96.1,98.06,0.007958,0.78036148
1764727200000,2025-12-03 02:00:00,QNT/USD,98.29,98.29,96.0,96.1,2.380004,228.7183844
1764723600000,2025-12-03 01:00:00,QNT/USD,98.05,98.66,98.05,98.29,0.118036,11.601758440000001
1764720000000,2025-12-03 00:00:00,QNT/USD,96.08,98.05,96.08,98.05,2.09658,205.56966899999998
1764716400000,2025-12-02 23:00:00,QNT/USD,98.49,98.49,96.08,96.08,7.600157,730.22308456
1764712800000,2025-12-02 22:00:00,QNT/USD,95.91,98.49,95.91,98.49,0.754589,74.31947061
1764709200000,2025-12-02 21:00:00,QNT/USD,98.62,98.62,95.91,95.91,10.679115,1024.23391965
1764705600000,2025-12-02 20:00:00,QNT/USD,98.64,98.64,98.6,98.62,2.994779,295.34510498
1764702000000,2025-12-02 19:00:00,QNT/USD,97.34,98.64,97.34,98.64,1.761954,173.79914256
1764698400000,2025-12-02 18:00:00,QNT/USD,99.8,99.8,97.31,97.34,6.892252,670.89180968
1764694800000,2025-12-02 17:00:00,QNT/USD,99.09,99.89,98.48,99.8,1.899566,189.5766868
1764691200000,2025-12-02 16:00:00,QNT/USD,101.18,101.18,99.09,99.09,8.062427,798.90589143
1764687600000,2025-12-02 15:00:00,QNT/USD,101.93,102.48,101.18,101.18,0.621407,62.87396026000001
1764684000000,2025-12-02 14:00:00,QNT/USD,101.18,101.93,101.18,101.93,6.03919,615.5746367
1764680400000,2025-12-02 13:00:00,QNT/USD,98.78,101.18,98.78,101.18,4.830926,488.79309268000003
1764676800000,2025-12-02 12:00:00,QNT/USD,99.09,100.3,98.78,98.78,3.433832,339.19392496
1764673200000,2025-12-02 11:00:00,QNT/USD,98.06,99.09,98.06,99.09,0.050075,4.961931750000001
1764669600000,2025-12-02 10:00:00,QNT/USD,98.06,98.06,98.06,98.06,0.0,0.0
1764666000000,2025-12-02 09:00:00,QNT/USD,98.17,98.17,98.06,98.06,0.000815,0.0799189
1764662400000,2025-12-02 08:00:00,QNT/USD,98.23,98.23,98.17,98.17,0.006178,0.6064942600000001
1764658800000,2025-12-02 07:00:00,QNT/USD,98.06,100.28,98.06,98.23,56.973545,5596.51132535
1764655200000,2025-12-02 06:00:00,QNT/USD,97.05,98.06,97.05,98.06,0.007126,0.6987755600000001
1764651600000,2025-12-02 05:00:00,QNT/USD,96.4,97.19,95.22,97.05,2.028668,196.8822294
1764648000000,2025-12-02 04:00:00,QNT/USD,97.05,97.93,96.4,96.4,9.951869,959.3601716000001
1764644400000,2025-12-02 03:00:00,QNT/USD,99.09,99.09,97.05,97.05,4.941259,479.5491859499999
1764640800000,2025-12-02 02:00:00,QNT/USD,100.91,100.91,99.09,99.09,0.000807,0.07996563
1764637200000,2025-12-02 01:00:00,QNT/USD,98.62,100.91,98.62,100.91,0.242467,24.46734497
1764633600000,2025-12-02 00:00:00,QNT/USD,102.21,102.21,98.62,98.62,1.854423,182.88319626
1764630000000,2025-12-01 23:00:00,QNT/USD,100.13,102.21,100.13,102.21,11.754045,1201.38093945
1764626400000,2025-12-01 22:00:00,QNT/USD,99.09,100.3,98.06,100.13,47.738782,4780.08424166
1764622800000,2025-12-01 21:00:00,QNT/USD,96.05,99.09,96.04,99.09,7.603719,753.4525157100001
1764619200000,2025-12-01 20:00:00,QNT/USD,94.49,96.05,93.32,96.05,4.880499,468.77192895
1764615600000,2025-12-01 19:00:00,QNT/USD,94.06,94.72,93.12,94.49,3.05164,288.3494636
1764612000000,2025-12-01 18:00:00,QNT/USD,93.8,94.06,92.95,94.06,4.488391,422.17805746
1764608400000,2025-12-01 17:00:00,QNT/USD,95.1,95.95,93.43,93.8,9.619697,902.3275786
1764604800000,2025-12-01 16:00:00,QNT/USD,95.76,95.76,92.15,95.1,114.822361,10919.6065311
1764601200000,2025-12-01 15:00:00,QNT/USD,93.31,95.76,93.31,95.76,30.007342,2873.50306992
