https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RNDR,Volume USD
1764802800000,2025-12-03 23:00:00,RNDR/USD,1.662,1.718,1.662,1.662,9.7545,16.211979
1764799200000,2025-12-03 22:00:00,RNDR/USD,1.662,1.662,1.662,1.662,0.0,0.0
1764795600000,2025-12-03 21:00:00,RNDR/USD,1.66,1.718,1.66,1.662,14.994004,24.920034647999998
1764792000000,2025-12-03 20:00:00,RNDR/USD,1.66,1.66,1.66,1.66,776.558464,1289.0870502399998
1764788400000,2025-12-03 19:00:00,RNDR/USD,1.695,1.695,1.66,1.66,640.546586,1063.30733276
1764784800000,2025-12-03 18:00:00,RNDR/USD,1.66,1.695,1.66,1.695,106.180015,179.97512542500002
1764781200000,2025-12-03 17:00:00,RNDR/USD,1.66,1.66,1.66,1.66,0.0,0.0
1764777600000,2025-12-03 16:00:00,RNDR/USD,1.66,1.66,1.66,1.66,0.0,0.0
1764774000000,2025-12-03 15:00:00,RNDR/USD,1.66,1.66,1.66,1.66,0.0,0.0
1764770400000,2025-12-03 14:00:00,RNDR/USD,1.742,1.742,1.66,1.66,341.894075,567.5441645
1764766800000,2025-12-03 13:00:00,RNDR/USD,1.742,1.742,1.742,1.742,0.0,0.0
1764763200000,2025-12-03 12:00:00,RNDR/USD,1.692,1.742,1.692,1.742,0.216417,0.376998414
1764759600000,2025-12-03 11:00:00,RNDR/USD,1.705,1.743,1.692,1.692,529.832266,896.476194072
1764756000000,2025-12-03 10:00:00,RNDR/USD,1.743,1.743,1.705,1.705,39.14199,66.73709295
1764752400000,2025-12-03 09:00:00,RNDR/USD,1.73,1.743,1.73,1.743,85.801116,149.551345188
1764748800000,2025-12-03 08:00:00,RNDR/USD,1.744,1.744,1.73,1.73,31.277872,54.110718559999995
1764745200000,2025-12-03 07:00:00,RNDR/USD,1.798,1.798,1.744,1.744,138.531696,241.599277824
1764741600000,2025-12-03 06:00:00,RNDR/USD,1.786,1.798,1.786,1.798,5.424559,9.753357082
1764738000000,2025-12-03 05:00:00,RNDR/USD,1.718,1.786,1.69,1.786,669.898098,1196.4380030280001
