https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1764802800000,2025-12-03 23:00:00,SOL/USD,144.555,145.63,144.538,144.538,4846.109379,700446.9574219021
1764799200000,2025-12-03 22:00:00,SOL/USD,145.59,145.942,143.288,144.555,2132.955477,308329.378977735
1764795600000,2025-12-03 21:00:00,SOL/USD,141.749,146.1,141.686,145.59,6569.602,956468.35518
1764792000000,2025-12-03 20:00:00,SOL/USD,141.211,142.139,140.805,141.749,1691.822872,239814.20028312798
1764788400000,2025-12-03 19:00:00,SOL/USD,141.112,141.699,141.032,141.211,2418.431092,341509.072932412
1764784800000,2025-12-03 18:00:00,SOL/USD,141.975,142.355,140.776,141.112,3210.692559,453067.248385608
1764781200000,2025-12-03 17:00:00,SOL/USD,140.697,142.117,140.591,141.975,2299.53152,326475.987552
1764777600000,2025-12-03 16:00:00,SOL/USD,140.905,141.813,139.922,140.697,2807.898167,395062.848402399
1764774000000,2025-12-03 15:00:00,SOL/USD,141.101,142.115,140.247,140.905,1271.195271,179117.769660255
1764770400000,2025-12-03 14:00:00,SOL/USD,141.912,143.511,138.872,141.101,6194.133846,873998.479804446
1764766800000,2025-12-03 13:00:00,SOL/USD,141.915,142.418,141.569,141.912,1774.436605,251813.84748876002
1764763200000,2025-12-03 12:00:00,SOL/USD,141.71,142.036,141.208,141.915,1864.007498,264530.62407867
1764759600000,2025-12-03 11:00:00,SOL/USD,141.479,141.797,140.771,141.71,476.810248,67568.78024408
1764756000000,2025-12-03 10:00:00,SOL/USD,142.253,142.253,141.312,141.479,295.569561,41816.885920719
1764752400000,2025-12-03 09:00:00,SOL/USD,142.202,142.459,141.575,142.253,2104.540178,299377.153941034
1764748800000,2025-12-03 08:00:00,SOL/USD,141.864,142.596,141.445,142.202,534.57263,76017.29713126
1764745200000,2025-12-03 07:00:00,SOL/USD,142.457,142.586,141.864,141.864,1847.412358,262081.30675531202
1764741600000,2025-12-03 06:00:00,SOL/USD,143.137,144.276,142.418,142.457,3254.544129,463632.59298495296
1764738000000,2025-12-03 05:00:00,SOL/USD,142.21,143.253,142.21,143.137,2305.062461,329939.725480157
1764734400000,2025-12-03 04:00:00,SOL/USD,140.382,142.51,140.269,142.21,5898.977815,838893.63507115
1764730800000,2025-12-03 03:00:00,SOL/USD,140.072,140.673,139.871,140.382,1673.501,234929.417382
