https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSHI,Volume USD
1764802800000,2025-12-03 23:00:00,SUSHI/USD,0.3743,0.3743,0.3743,0.3743,0.0,0.0
1764799200000,2025-12-03 22:00:00,SUSHI/USD,0.3717,0.3842,0.365,0.3743,76.998926,28.8206980018
1764795600000,2025-12-03 21:00:00,SUSHI/USD,0.3717,0.3717,0.3717,0.3717,0.0,0.0
1764792000000,2025-12-03 20:00:00,SUSHI/USD,0.3718,0.3728,0.3715,0.3717,129.670349,48.19846872329999
1764788400000,2025-12-03 19:00:00,SUSHI/USD,0.3718,0.3718,0.3718,0.3718,0.0,0.0
1764784800000,2025-12-03 18:00:00,SUSHI/USD,0.371,0.3718,0.371,0.3718,150.0,55.77
1764781200000,2025-12-03 17:00:00,SUSHI/USD,0.3685,0.371,0.3685,0.371,22.288585,8.269065035
1764777600000,2025-12-03 16:00:00,SUSHI/USD,0.3685,0.3685,0.3685,0.3685,0.0,0.0
1764774000000,2025-12-03 15:00:00,SUSHI/USD,0.3685,0.3685,0.3685,0.3685,0.0,0.0
1764770400000,2025-12-03 14:00:00,SUSHI/USD,0.3685,0.3685,0.3685,0.3685,0.0,0.0
1764766800000,2025-12-03 13:00:00,SUSHI/USD,0.3731,0.3731,0.3685,0.3685,231.87135,85.44459247500001
1764763200000,2025-12-03 12:00:00,SUSHI/USD,0.3731,0.3731,0.3731,0.3731,0.0,0.0
1764759600000,2025-12-03 11:00:00,SUSHI/USD,0.3731,0.3731,0.3731,0.3731,0.0,0.0
1764756000000,2025-12-03 10:00:00,SUSHI/USD,0.3731,0.3731,0.3731,0.3731,0.0,0.0
1764752400000,2025-12-03 09:00:00,SUSHI/USD,0.3731,0.3731,0.3731,0.3731,0.0,0.0
1764748800000,2025-12-03 08:00:00,SUSHI/USD,0.3731,0.3731,0.3731,0.3731,0.0,0.0
1764745200000,2025-12-03 07:00:00,SUSHI/USD,0.3754,0.3754,0.3731,0.3731,5.304509,1.9791123079000001
1764741600000,2025-12-03 06:00:00,SUSHI/USD,0.3673,0.3754,0.3673,0.3754,363.793194,136.56796502760002
1764738000000,2025-12-03 05:00:00,SUSHI/USD,0.3673,0.3673,0.3673,0.3673,0.0,0.0
1764734400000,2025-12-03 04:00:00,SUSHI/USD,0.3673,0.3673,0.3673,0.3673,0.0,0.0
1764730800000,2025-12-03 03:00:00,SUSHI/USD,0.3673,0.3673,0.3673,0.3673,0.0,0.0
1764727200000,2025-12-03 02:00:00,SUSHI/USD,0.3673,0.3673,0.3673,0.3673,0.0,0.0
1764723600000,2025-12-03 01:00:00,SUSHI/USD,0.3673,0.3673,0.3673,0.3673,0.0,0.0
1764720000000,2025-12-03 00:00:00,SUSHI/USD,0.3449,0.3673,0.3449,0.3673,45.751834,16.804648628200002
1764716400000,2025-12-02 23:00:00,SUSHI/USD,0.3449,0.3449,0.3449,0.3449,0.0,0.0
1764712800000,2025-12-02 22:00:00,SUSHI/USD,0.3632,0.3632,0.3449,0.3449,62.467501,21.5450410949
1764709200000,2025-12-02 21:00:00,SUSHI/USD,0.3643,0.3651,0.3631,0.3632,32.639282,11.854587222400001
1764705600000,2025-12-02 20:00:00,SUSHI/USD,0.3702,0.3702,0.3643,0.3643,63.769155,23.2311031665
1764702000000,2025-12-02 19:00:00,SUSHI/USD,0.3702,0.3702,0.3702,0.3702,0.0,0.0
1764698400000,2025-12-02 18:00:00,SUSHI/USD,0.3707,0.3707,0.3702,0.3702,3.453335,1.278424617
1764694800000,2025-12-02 17:00:00,SUSHI/USD,0.3659,0.3707,0.3659,0.3707,200.0,74.14
