https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume USD
1764802800000,2025-12-03 23:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764799200000,2025-12-03 22:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764795600000,2025-12-03 21:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764792000000,2025-12-03 20:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764788400000,2025-12-03 19:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764784800000,2025-12-03 18:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764781200000,2025-12-03 17:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764777600000,2025-12-03 16:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764774000000,2025-12-03 15:00:00,UMA/USD,0.8282,0.8282,0.8282,0.8282,0.0,0.0
1764770400000,2025-12-03 14:00:00,UMA/USD,0.8309,0.8309,0.8282,0.8282,13.686651,11.335284358200001
1764766800000,2025-12-03 13:00:00,UMA/USD,0.8309,0.8309,0.8309,0.8309,0.0,0.0
1764763200000,2025-12-03 12:00:00,UMA/USD,0.8309,0.8309,0.8309,0.8309,0.0,0.0
1764759600000,2025-12-03 11:00:00,UMA/USD,0.8309,0.8309,0.8309,0.8309,0.0,0.0
1764756000000,2025-12-03 10:00:00,UMA/USD,0.8309,0.8309,0.8309,0.8309,0.0,0.0
1764752400000,2025-12-03 09:00:00,UMA/USD,0.8309,0.8309,0.8309,0.8309,0.0,0.0
1764748800000,2025-12-03 08:00:00,UMA/USD,0.8309,0.8309,0.8309,0.8309,0.0,0.0
1764745200000,2025-12-03 07:00:00,UMA/USD,0.8194,0.8309,0.8194,0.8309,6.763521,5.6198095989
1764741600000,2025-12-03 06:00:00,UMA/USD,0.8194,0.8194,0.8194,0.8194,0.0,0.0
1764738000000,2025-12-03 05:00:00,UMA/USD,0.8194,0.8194,0.8194,0.8194,0.0,0.0
1764734400000,2025-12-03 04:00:00,UMA/USD,0.8183,0.8194,0.8183,0.8194,167.613355,137.342383087
1764730800000,2025-12-03 03:00:00,UMA/USD,0.8183,0.8183,0.8183,0.8183,0.0,0.0
1764727200000,2025-12-03 02:00:00,UMA/USD,0.7767,0.8183,0.7767,0.8183,39.611937,32.4144480471
1764723600000,2025-12-03 01:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764720000000,2025-12-03 00:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764716400000,2025-12-02 23:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764712800000,2025-12-02 22:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764709200000,2025-12-02 21:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764705600000,2025-12-02 20:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764702000000,2025-12-02 19:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764698400000,2025-12-02 18:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764694800000,2025-12-02 17:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764691200000,2025-12-02 16:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764687600000,2025-12-02 15:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764684000000,2025-12-02 14:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764680400000,2025-12-02 13:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764676800000,2025-12-02 12:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764673200000,2025-12-02 11:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764669600000,2025-12-02 10:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764666000000,2025-12-02 09:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764662400000,2025-12-02 08:00:00,UMA/USD,0.7767,0.7767,0.7767,0.7767,0.0,0.0
1764658800000,2025-12-02 07:00:00,UMA/USD,0.7896,0.7896,0.7767,0.7767,0.954509,0.7413671403
1764655200000,2025-12-02 06:00:00,UMA/USD,0.7896,0.7896,0.7896,0.7896,0.0,0.0
1764651600000,2025-12-02 05:00:00,UMA/USD,0.7896,0.7896,0.7896,0.7896,0.0,0.0
1764648000000,2025-12-02 04:00:00,UMA/USD,0.7896,0.7896,0.7896,0.7896,0.0,0.0
