https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USD
1776121200000,2026-04-13 23:00:00,USDC/USD,0.99999,1.002,0.99965,0.9999,422500.406232,422458.1561913768
1776117600000,2026-04-13 22:00:00,USDC/USD,0.99997,1.00005,0.99936,0.99999,133212.505502,133211.173376945
1776114000000,2026-04-13 21:00:00,USDC/USD,1.00002,1.00002,0.99996,0.99997,321198.129293,321188.4933491212
1776110400000,2026-04-13 20:00:00,USDC/USD,0.99999,1.00005,0.99993,1.00002,118822.681362,118825.05781562724
1776106800000,2026-04-13 19:00:00,USDC/USD,0.99999,1.00019,0.99868,0.99999,470897.480594,470892.7716191941
1776103200000,2026-04-13 18:00:00,USDC/USD,0.99999,1.00003,0.99997,0.99999,75752.273395,75751.51587226606
1776099600000,2026-04-13 17:00:00,USDC/USD,0.99997,1.00788,0.99859,0.99999,401225.927527,401221.9152677248
1776096000000,2026-04-13 16:00:00,USDC/USD,0.99998,1.003,0.99997,0.99997,285433.324737,285424.7617372579
1776092400000,2026-04-13 15:00:00,USDC/USD,0.9999,1.0,0.99859,0.99998,471994.269168,471984.8292826167
1776088800000,2026-04-13 14:00:00,USDC/USD,0.9999,0.9999,0.99989,0.9999,572644.054803,572586.7903975197
1776085200000,2026-04-13 13:00:00,USDC/USD,0.99988,0.99999,0.99984,0.9999,229676.928681,229653.9609881319
1776081600000,2026-04-13 12:00:00,USDC/USD,0.99999,0.99999,0.99988,0.99988,306860.337402,306823.51416151173
1776078000000,2026-04-13 11:00:00,USDC/USD,0.99999,1.0,0.99999,0.99999,33683.20245,33682.8656179755
1776074400000,2026-04-13 10:00:00,USDC/USD,0.99999,0.99999,0.99999,0.99999,120.0,119.9988
1776070800000,2026-04-13 09:00:00,USDC/USD,0.99999,0.99999,0.99999,0.99999,514.630908,514.62576169092
1776067200000,2026-04-13 08:00:00,USDC/USD,0.99999,1.0,0.99999,0.99999,58.205155,58.20457294845
1776063600000,2026-04-13 07:00:00,USDC/USD,1.00001,1.00002,0.99999,0.99999,9243.53696,9243.4445246304
1776060000000,2026-04-13 06:00:00,USDC/USD,0.99999,1.003,0.99986,1.00001,319737.148066,319740.3454374807
1776056400000,2026-04-13 05:00:00,USDC/USD,0.99986,0.99999,0.99912,0.99999,299527.037041,299524.0417706296
1776052800000,2026-04-13 04:00:00,USDC/USD,0.99988,0.99999,0.99975,0.99986,51378.891771,51371.69872615206
1776049200000,2026-04-13 03:00:00,USDC/USD,0.99986,0.99999,0.99981,0.99988,32819.490104,32815.55176518752
1776045600000,2026-04-13 02:00:00,USDC/USD,0.99999,0.99999,0.99948,0.99986,1718181.360611,1717940.8152205145
1776042000000,2026-04-13 01:00:00,USDC/USD,0.99999,0.99999,0.99991,0.99999,16109.94369,16109.782590563102
1776038400000,2026-04-13 00:00:00,USDC/USD,0.99998,0.99999,0.99988,0.99999,3899.480672,3899.44167719328
1776034800000,2026-04-12 23:00:00,USDC/USD,0.99998,0.99999,0.99987,0.99998,79800.218244,79798.62223963512
1776031200000,2026-04-12 22:00:00,USDC/USD,0.99998,0.99999,0.99978,0.99998,234702.578857,234697.88480542283
1776027600000,2026-04-12 21:00:00,USDC/USD,0.99999,0.99999,0.99941,0.99998,119769.128697,119766.73331442605
1776024000000,2026-04-12 20:00:00,USDC/USD,0.99998,0.99999,0.99997,0.99999,66381.260923,66380.59711039077
1776020400000,2026-04-12 19:00:00,USDC/USD,0.99997,0.99998,0.99997,0.99998,110436.593794,110434.38506212411
1776016800000,2026-04-12 18:00:00,USDC/USD,0.99998,0.99999,0.99997,0.99997,23425.756881,23425.05410829357
1776013200000,2026-04-12 17:00:00,USDC/USD,0.99998,0.99999,0.99997,0.99998,80927.149495,80925.5309520101
1776009600000,2026-04-12 16:00:00,USDC/USD,0.99999,0.99999,0.99997,0.99998,65200.339846,65199.03583920308
1776006000000,2026-04-12 15:00:00,USDC/USD,0.99999,0.99999,0.99997,0.99999,13840.021141,13839.88274078859
1776002400000,2026-04-12 14:00:00,USDC/USD,0.99999,0.99999,0.99996,0.99999,6052.898506,6052.83797701494
1775998800000,2026-04-12 13:00:00,USDC/USD,0.99999,0.99999,0.99997,0.99999,4664.9,4664.853351
1775995200000,2026-04-12 12:00:00,USDC/USD,0.99998,0.99999,0.99998,0.99999,47700.497566,47700.02056102434
