https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTZ,Volume USD
1764802800000,2025-12-03 23:00:00,XTZ/USD,0.5054,0.5054,0.5022,0.5022,40.026683,20.101400202599997
1764799200000,2025-12-03 22:00:00,XTZ/USD,0.5038,0.5058,0.5038,0.5054,1692.475698,855.3772177691999
1764795600000,2025-12-03 21:00:00,XTZ/USD,0.4992,0.5038,0.4992,0.5038,1512.563161,762.0293205118
1764792000000,2025-12-03 20:00:00,XTZ/USD,0.4966,0.4992,0.4966,0.4992,1408.927483,703.3365995135999
1764788400000,2025-12-03 19:00:00,XTZ/USD,0.4977,0.4977,0.4966,0.4966,4000.0,1986.3999999999999
1764784800000,2025-12-03 18:00:00,XTZ/USD,0.4977,0.4977,0.4977,0.4977,0.0,0.0
1764781200000,2025-12-03 17:00:00,XTZ/USD,0.4998,0.4998,0.4977,0.4977,51.85509,25.808278292999997
1764777600000,2025-12-03 16:00:00,XTZ/USD,0.4982,0.4998,0.4982,0.4998,0.068836,0.0344042328
1764774000000,2025-12-03 15:00:00,XTZ/USD,0.4959,0.4982,0.4939,0.4982,200.19107,99.735191074
1764770400000,2025-12-03 14:00:00,XTZ/USD,0.5005,0.5018,0.49,0.4959,2.911761,1.4439422799
1764766800000,2025-12-03 13:00:00,XTZ/USD,0.4959,0.5005,0.4959,0.5005,110.0,55.05499999999999
1764763200000,2025-12-03 12:00:00,XTZ/USD,0.4959,0.4959,0.4959,0.4959,0.0,0.0
1764759600000,2025-12-03 11:00:00,XTZ/USD,0.4979,0.4979,0.4959,0.4959,0.068558,0.0339979122
1764756000000,2025-12-03 10:00:00,XTZ/USD,0.504,0.504,0.4979,0.4979,8.068283,4.0171981056999995
1764752400000,2025-12-03 09:00:00,XTZ/USD,0.504,0.504,0.504,0.504,0.0,0.0
1764748800000,2025-12-03 08:00:00,XTZ/USD,0.504,0.504,0.504,0.504,0.0,0.0
1764745200000,2025-12-03 07:00:00,XTZ/USD,0.504,0.504,0.504,0.504,0.0,0.0
1764741600000,2025-12-03 06:00:00,XTZ/USD,0.4967,0.504,0.4967,0.504,1002.068558,505.04255323200005
1764738000000,2025-12-03 05:00:00,XTZ/USD,0.4966,0.4998,0.4966,0.4967,113.871659,56.56005302529999
1764734400000,2025-12-03 04:00:00,XTZ/USD,0.4966,0.4966,0.4966,0.4966,0.0,0.0
1764730800000,2025-12-03 03:00:00,XTZ/USD,0.4958,0.4977,0.4958,0.4966,1240.308355,615.937129093
1764727200000,2025-12-03 02:00:00,XTZ/USD,0.4874,0.4958,0.4874,0.4958,139.556839,69.19228077620001
1764723600000,2025-12-03 01:00:00,XTZ/USD,0.4848,0.4874,0.4848,0.4874,1174.624148,572.5118097352
1764720000000,2025-12-03 00:00:00,XTZ/USD,0.4853,0.4853,0.4848,0.4848,25.12646,12.181307808000001
1764716400000,2025-12-02 23:00:00,XTZ/USD,0.4853,0.4853,0.4853,0.4853,0.0,0.0
1764712800000,2025-12-02 22:00:00,XTZ/USD,0.4843,0.486,0.4843,0.4853,3636.420626,1764.7549297978
1764709200000,2025-12-02 21:00:00,XTZ/USD,0.4803,0.4843,0.4803,0.4843,104.712183,50.7121102269
1764705600000,2025-12-02 20:00:00,XTZ/USD,0.4861,0.4861,0.4803,0.4803,2.596904,1.2472929912
1764702000000,2025-12-02 19:00:00,XTZ/USD,0.4895,0.4895,0.4861,0.4861,5.082617,2.4706601236999997
1764698400000,2025-12-02 18:00:00,XTZ/USD,0.4886,0.492,0.4881,0.4895,10157.921441,4972.3025453695
